Decode results B 1
,"Source","State","Start","Tx value","Rx value"
1,"Rx","Ok","-3.9472 ms"," ---","[hex]FF"
2,"Rx","Ok","-3.9255 ms"," ---","[hex]FF"
3,"Rx","Ok","-3.9038 ms"," ---","[hex]01"
4,"Rx","Ok","-3.882 ms"," ---","[hex]B8"
5,"Rx","Ok","-3.8603 ms"," ---","[hex]01"
6,"Rx","Ok","-3.8386 ms"," ---","[hex]93"
7,"Rx","Ok","-3.8169 ms"," ---","[hex]01"
8,"Rx","Ok","-3.7952 ms"," ---","[hex]76"
9,"Rx","Ok","-3.7734 ms"," ---","[hex]01"
10,"Rx","Ok","-3.7517 ms"," ---","[hex]57"
11,"Rx","Ok","-3.73 ms"," ---","[hex]01"
12,"Rx","Ok","-3.7083 ms"," ---","[hex]37"
13,"Rx","Ok","-3.6866 ms"," ---","[hex]01"
14,"Rx","Ok","-3.6648 ms"," ---","[hex]1B"
15,"Rx","Ok","-3.6431 ms"," ---","[hex]00"
16,"Rx","Ok","-3.6214 ms"," ---","[hex]FB"
17,"Rx","Ok","-3.5976 ms"," ---","[hex]00"
18,"Rx","Ok","-3.5759 ms"," ---","[hex]D9"
19,"Rx","Ok","-3.5473 ms"," ---","[hex]00"
20,"Rx","Ok","-3.5256 ms"," ---","[hex]BC"
21,"Rx","Ok","-3.4969 ms"," ---","[hex]00"
22,"Rx","Ok","-3.4752 ms"," ---","[hex]9C"
23,"Rx","Ok","-3.4452 ms"," ---","[hex]00"
24,"Rx","Ok","-3.4235 ms"," ---","[hex]7F"
25,"Rx","Ok","-3.3944 ms"," ---","[hex]01"
26,"Rx","Ok","-3.3726 ms"," ---","[hex]20"
27,"Rx","Ok","-3.3436 ms"," ---","[hex]01"
28,"Rx","Ok","-3.3218 ms"," ---","[hex]3E"
29,"Rx","Ok","-3.2927 ms"," ---","[hex]01"
30,"Rx","Ok","-3.271 ms"," ---","[hex]60"
31,"Rx","Ok","-3.2419 ms"," ---","[hex]01"
32,"Rx","Ok","-3.2202 ms"," ---","[hex]7E"
33,"Rx","Ok","-3.1911 ms"," ---","[hex]01"
34,"Rx","Ok","-3.1694 ms"," ---","[hex]A0"
35,"Rx","Ok","-3.1399 ms"," ---","[hex]01"
36,"Rx","Ok","-3.1182 ms"," ---","[hex]BD"
