Decode results B 1
,"Source","State","Start","Tx value","Rx value"
1,"Rx","Ok","-6.2118 ms"," ---","[hex]FF"
2,"Rx","Ok","-6.1901 ms"," ---","[hex]FF"
3,"Rx","Ok","-6.1684 ms"," ---","[hex]00"
4,"Rx","Ok","-6.1466 ms"," ---","[hex]06"
5,"Rx","Ok","-6.1249 ms"," ---","[hex]00"
6,"Rx","Ok","-6.1032 ms"," ---","[hex]05"
7,"Rx","Ok","-6.0815 ms"," ---","[hex]00"
8,"Rx","Ok","-6.0598 ms"," ---","[hex]07"
9,"Rx","Ok","-6.038 ms"," ---","[hex]00"
10,"Rx","Ok","-6.0163 ms"," ---","[hex]08"
11,"Rx","Ok","-5.9946 ms"," ---","[hex]00"
12,"Rx","Ok","-5.9729 ms"," ---","[hex]06"
13,"Rx","Ok","-5.9512 ms"," ---","[hex]00"
14,"Rx","Ok","-5.9295 ms"," ---","[hex]06"
15,"Rx","Ok","-5.9077 ms"," ---","[hex]00"
16,"Rx","Ok","-5.886 ms"," ---","[hex]06"
17,"Rx","Ok","-5.8622 ms"," ---","[hex]00"
18,"Rx","Ok","-5.8405 ms"," ---","[hex]06"
19,"Rx","Ok","-5.8114 ms"," ---","[hex]00"
20,"Rx","Ok","-5.7897 ms"," ---","[hex]06"
21,"Rx","Ok","-5.7604 ms"," ---","[hex]00"
22,"Rx","Ok","-5.7387 ms"," ---","[hex]06"
23,"Rx","Ok","-5.7097 ms"," ---","[hex]00"
24,"Rx","Ok","-5.688 ms"," ---","[hex]05"
25,"Rx","Ok","-5.6588 ms"," ---","[hex]00"
26,"Rx","Ok","-5.6371 ms"," ---","[hex]05"
27,"Rx","Ok","-5.6078 ms"," ---","[hex]00"
28,"Rx","Ok","-5.586 ms"," ---","[hex]05"
29,"Rx","Ok","-5.5573 ms"," ---","[hex]00"
30,"Rx","Ok","-5.5356 ms"," ---","[hex]05"
31,"Rx","Ok","-5.5067 ms"," ---","[hex]00"
32,"Rx","Ok","-5.485 ms"," ---","[hex]05"
33,"Rx","Ok","-5.4555 ms"," ---","[hex]00"
34,"Rx","Ok","-5.4338 ms"," ---","[hex]08"
35,"Rx","Ok","-5.4049 ms"," ---","[hex]00"
36,"Rx","Ok","-5.3832 ms"," ---","[hex]07"
37,"Rx","Ok","-5.3543 ms"," ---","[hex]00"
38,"Rx","Ok","-5.3325 ms"," ---","[hex]06"
39,"Rx","Ok","-5.3035 ms"," ---","[hex]00"
40,"Rx","Ok","-5.2817 ms"," ---","[hex]07"
41,"Rx","Ok","-5.2527 ms"," ---","[hex]00"
42,"Rx","Ok","-5.2309 ms"," ---","[hex]06"
43,"Rx","Ok","-5.2016 ms"," ---","[hex]00"
44,"Rx","Ok","-5.1799 ms"," ---","[hex]F1"
45,"Rx","Ok","-5.151 ms"," ---","[hex]01"
46,"Rx","Ok","-5.1293 ms"," ---","[hex]01"
47,"Rx","Ok","-5.1 ms"," ---","[hex]01"
48,"Rx","Ok","-5.0783 ms"," ---","[hex]18"
49,"Rx","Ok","-5.0495 ms"," ---","[hex]01"
50,"Rx","Ok","-5.0278 ms"," ---","[hex]39"
51,"Rx","Ok","-4.9986 ms"," ---","[hex]01"
52,"Rx","Ok","-4.9769 ms"," ---","[hex]5C"
53,"Rx","Ok","-4.9476 ms"," ---","[hex]01"
54,"Rx","Ok","-4.9259 ms"," ---","[hex]7A"
55,"Rx","Ok","-4.8969 ms"," ---","[hex]01"
56,"Rx","Ok","-4.8752 ms"," ---","[hex]9A"
57,"Rx","Ok","-4.8458 ms"," ---","[hex]01"
58,"Rx","Ok","-4.8241 ms"," ---","[hex]BC"
59,"Rx","Ok","-4.795 ms"," ---","[hex]01"
60,"Rx","Ok","-4.7733 ms"," ---","[hex]DA"
61,"Rx","Ok","-4.7445 ms"," ---","[hex]01"
62,"Rx","Ok","-4.7228 ms"," ---","[hex]F8"
63,"Rx","Ok","-4.6936 ms"," ---","[hex]02"
64,"Rx","Ok","-4.6719 ms"," ---","[hex]17"
65,"Rx","Ok","-4.6428 ms"," ---","[hex]02"
66,"Rx","Ok","-4.6211 ms"," ---","[hex]37"
67,"Rx","Ok","-4.5921 ms"," ---","[hex]02"
68,"Rx","Ok","-4.5704 ms"," ---","[hex]58"
69,"Rx","Ok","-4.5413 ms"," ---","[hex]02"
70,"Rx","Ok","-4.5196 ms"," ---","[hex]7F"
71,"Rx","Ok","-4.4903 ms"," ---","[hex]02"
72,"Rx","Ok","-4.4686 ms"," ---","[hex]AB"
73,"Rx","Ok","-4.4397 ms"," ---","[hex]03"
74,"Rx","Ok","-4.418 ms"," ---","[hex]40"
75,"Rx","Ok","-4.3887 ms"," ---","[hex]03"
76,"Rx","Ok","-4.3669 ms"," ---","[hex]1D"
77,"Rx","Ok","-4.3381 ms"," ---","[hex]03"
78,"Rx","Ok","-4.3164 ms"," ---","[hex]21"
79,"Rx","Ok","-4.2873 ms"," ---","[hex]03"
80,"Rx","Ok","-4.2656 ms"," ---","[hex]19"
81,"Rx","Ok","-4.2365 ms"," ---","[hex]03"
82,"Rx","Ok","-4.2148 ms"," ---","[hex]21"
83,"Rx","Ok","-4.1856 ms"," ---","[hex]03"
84,"Rx","Ok","-4.1639 ms"," ---","[hex]20"
85,"Rx","Ok","-4.1348 ms"," ---","[hex]03"
86,"Rx","Ok","-4.1131 ms"," ---","[hex]1F"
87,"Rx","Ok","-4.0839 ms"," ---","[hex]03"
88,"Rx","Ok","-4.0622 ms"," ---","[hex]1C"
89,"Rx","Ok","-4.0331 ms"," ---","[hex]03"
90,"Rx","Ok","-4.0114 ms"," ---","[hex]1C"
91,"Rx","Ok","-3.9819 ms"," ---","[hex]03"
92,"Rx","Ok","-3.9602 ms"," ---","[hex]1C"
93,"Rx","Ok","-3.9317 ms"," ---","[hex]03"
