Decode results B 1
,"Source","State","Start","Tx value","Rx value"
1,"Rx","Ok","-4.6821 ms"," ---","[hex]FF"
2,"Rx","Ok","-4.6604 ms"," ---","[hex]FF"
3,"Rx","Ok","-4.6387 ms"," ---","[hex]FF"
4,"Rx","Ok","-4.617 ms"," ---","[hex]FF"
5,"Rx","Ok","-4.5952 ms"," ---","[hex]0E"
6,"Rx","Ok","-4.5735 ms"," ---","[hex]5B"
7,"Rx","Ok","-4.5518 ms"," ---","[hex]00"
8,"Rx","Ok","-4.5301 ms"," ---","[hex]00"
9,"Rx","Ok","-4.503 ms"," ---","[hex]18"
10,"Rx","Ok","-4.4813 ms"," ---","[hex]AE"
11,"Rx","Ok","-4.454 ms"," ---","[hex]00"
12,"Rx","Ok","-4.4323 ms"," ---","[hex]00"
13,"Rx","Ok","-4.4006 ms"," ---","[hex]0E"
14,"Rx","Ok","-4.3789 ms"," ---","[hex]AA"
15,"Rx","Ok","-4.352 ms"," ---","[hex]00"
16,"Rx","Ok","-4.3303 ms"," ---","[hex]00"
17,"Rx","Ok","-4.299 ms"," ---","[hex]19"
18,"Rx","Ok","-4.2773 ms"," ---","[hex]08"
19,"Rx","Ok","-4.2507 ms"," ---","[hex]00"
20,"Rx","Ok","-4.229 ms"," ---","[hex]00"
21,"Rx","Ok","-4.1976 ms"," ---","[hex]0F"
22,"Rx","Ok","-4.1759 ms"," ---","[hex]76"
23,"Rx","Ok","-4.1492 ms"," ---","[hex]00"
24,"Rx","Ok","-4.1275 ms"," ---","[hex]00"
25,"Rx","Ok","-4.096 ms"," ---","[hex]17"
26,"Rx","Ok","-4.0742 ms"," ---","[hex]76"
27,"Rx","Ok","-4.0474 ms"," ---","[hex]00"
28,"Rx","Ok","-4.0257 ms"," ---","[hex]00"
29,"Rx","Ok","-3.994 ms"," ---","[hex]0E"
30,"Rx","Ok","-3.9722 ms"," ---","[hex]0A"
31,"Rx","Ok","-3.946 ms"," ---","[hex]00"
32,"Rx","Ok","-3.9243 ms"," ---","[hex]00"
33,"Rx","Ok","-3.8926 ms"," ---","[hex]1A"
34,"Rx","Ok","-3.8709 ms"," ---","[hex]73"
35,"Rx","Ok","-3.8448 ms"," ---","[hex]00"
36,"Rx","Ok","-3.8231 ms"," ---","[hex]00"
37,"Rx","Ok","-3.7918 ms"," ---","[hex]0E"
38,"Rx","Ok","-3.7701 ms"," ---","[hex]5E"
39,"Rx","Ok","-3.7431 ms"," ---","[hex]00"
