Decode results B 1
,"Source","State","Start","Tx value","Rx value"
1,"Rx","Ok","-3.0998 ms"," ---","[hex]FF"
1,"Rx","Ok","-3.0998 ms"," ---","[hex]FF"
1,"Rx","Ok","-3.0998 ms"," ---","[hex]00"
2,"Rx","Ok","-3.0781 ms"," ---","[hex]A2"
3,"Rx","Ok","-3.049 ms"," ---","[hex]00"
4,"Rx","Ok","-3.0273 ms"," ---","[hex]EE"
5,"Rx","Ok","-2.9982 ms"," ---","[hex]01"
6,"Rx","Ok","-2.9765 ms"," ---","[hex]0A"
7,"Rx","Ok","-2.8964 ms"," ---","[hex]01"
8,"Rx","Ok","-2.8747 ms"," ---","[hex]2A"
9,"Rx","Ok","-2.8458 ms"," ---","[hex]01"
10,"Rx","Ok","-2.8241 ms"," ---","[hex]4A"
11,"Rx","Ok","-2.795 ms"," ---","[hex]01"
12,"Rx","Ok","-2.7733 ms"," ---","[hex]67"
13,"Rx","Ok","-2.744 ms"," ---","[hex]01"
14,"Rx","Ok","-2.7223 ms"," ---","[hex]8A"
15,"Rx","Ok","-2.6932 ms"," ---","[hex]01"
16,"Rx","Ok","-2.6715 ms"," ---","[hex]A7"
17,"Rx","Ok","-2.6425 ms"," ---","[hex]01"
18,"Rx","Ok","-2.6208 ms"," ---","[hex]C8"
19,"Rx","Ok","-2.5918 ms"," ---","[hex]01"
20,"Rx","Ok","-2.5701 ms"," ---","[hex]E8"
21,"Rx","Ok","-2.541 ms"," ---","[hex]02"
22,"Rx","Ok","-2.5193 ms"," ---","[hex]07"
23,"Rx","Ok","-2.4899 ms"," ---","[hex]02"
24,"Rx","Ok","-2.4682 ms"," ---","[hex]28"
25,"Rx","Ok","-2.4393 ms"," ---","[hex]02"
26,"Rx","Ok","-2.4176 ms"," ---","[hex]47"
27,"Rx","Ok","-2.3885 ms"," ---","[hex]02"
28,"Rx","Ok","-2.3668 ms"," ---","[hex]6A"
29,"Rx","Ok","-2.3378 ms"," ---","[hex]02"
30,"Rx","Ok","-2.3161 ms"," ---","[hex]8D"
31,"Rx","Ok","-2.2871 ms"," ---","[hex]02"
32,"Rx","Ok","-2.2653 ms"," ---","[hex]BB"
33,"Rx","Ok","-2.236 ms"," ---","[hex]02"
34,"Rx","Ok","-2.2143 ms"," ---","[hex]2E"
35,"Rx","Ok","-2.1855 ms"," ---","[hex]02"
36,"Rx","Ok","-2.1637 ms"," ---","[hex]0F"
37,"Rx","Ok","-2.0836 ms"," ---","[hex]01"
38,"Rx","Ok","-2.0619 ms"," ---","[hex]EF"
39,"Rx","Ok","-2.0327 ms"," ---","[hex]01"
40,"Rx","Ok","-2.011 ms"," ---","[hex]CF"
41,"Rx","Ok","-1.9822 ms"," ---","[hex]01"
42,"Rx","Ok","-1.9605 ms"," ---","[hex]AF"
43,"Rx","Ok","-1.9311 ms"," ---","[hex]01"
44,"Rx","Ok","-1.9094 ms"," ---","[hex]8F"
45,"Rx","Ok","-1.8807 ms"," ---","[hex]01"
46,"Rx","Ok","-1.859 ms"," ---","[hex]70"
