Decode results B 1
,"Source","State","Start","Tx value","Rx value"
1,"Rx","Ok","-24.9469 ms"," ---","[hex]01"
2,"Rx","Ok","-24.9252 ms"," ---","[hex]54"
3,"Rx","Ok","-24.8962 ms"," ---","[hex]01"
4,"Rx","Ok","-24.8745 ms"," ---","[hex]77"
5,"Rx","Ok","-24.8454 ms"," ---","[hex]01"
6,"Rx","Ok","-24.8237 ms"," ---","[hex]97"
7,"Rx","Ok","-24.7942 ms"," ---","[hex]01"
8,"Rx","Ok","-24.7725 ms"," ---","[hex]B6"
9,"Rx","Ok","-24.7436 ms"," ---","[hex]01"
10,"Rx","Ok","-24.7219 ms"," ---","[hex]D5"
11,"Rx","Ok","-24.6928 ms"," ---","[hex]01"
12,"Rx","Ok","-24.671 ms"," ---","[hex]F3"
13,"Rx","Ok","-24.642 ms"," ---","[hex]02"
14,"Rx","Ok","-24.6203 ms"," ---","[hex]18"
15,"Rx","Ok","-24.5913 ms"," ---","[hex]02"
16,"Rx","Ok","-24.5696 ms"," ---","[hex]37"
17,"Rx","Ok","-24.5402 ms"," ---","[hex]02"
18,"Rx","Ok","-24.5185 ms"," ---","[hex]56"
19,"Rx","Ok","-24.4895 ms"," ---","[hex]02"
20,"Rx","Ok","-24.4678 ms"," ---","[hex]7A"
21,"Rx","Ok","-24.4389 ms"," ---","[hex]02"
22,"Rx","Ok","-24.4172 ms"," ---","[hex]A0"
23,"Rx","Ok","-24.3877 ms"," ---","[hex]03"
24,"Rx","Ok","-24.366 ms"," ---","[hex]37"
25,"Rx","Ok","-24.3371 ms"," ---","[hex]02"
26,"Rx","Ok","-24.3154 ms"," ---","[hex]00"
27,"Rx","Ok","-24.1847 ms"," ---","[hex]01"
28,"Rx","Ok","-24.163 ms"," ---","[hex]E0"
29,"Rx","Ok","-24.134 ms"," ---","[hex]01"
30,"Rx","Ok","-24.1122 ms"," ---","[hex]BF"
31,"Rx","Ok","-24.0832 ms"," ---","[hex]01"
32,"Rx","Ok","-24.0615 ms"," ---","[hex]A4"
33,"Rx","Ok","-24.0322 ms"," ---","[hex]01"
34,"Rx","Ok","-24.0105 ms"," ---","[hex]82"
35,"Rx","Ok","-23.9814 ms"," ---","[hex]01"
36,"Rx","Ok","-23.9597 ms"," ---","[hex]62"
37,"Rx","Ok","-23.9309 ms"," ---","[hex]01"
38,"Rx","Ok","-23.9092 ms"," ---","[hex]43"
39,"Rx","Ok","-23.8797 ms"," ---","[hex]01"
40,"Rx","Ok","-23.858 ms"," ---","[hex]24"
41,"Rx","Ok","-23.8291 ms"," ---","[hex]01"
42,"Rx","Ok","-23.8074 ms"," ---","[hex]03"
43,"Rx","Ok","-23.7783 ms"," ---","[hex]00"
44,"Rx","Ok","-23.7565 ms"," ---","[hex]E4"
45,"Rx","Ok","-23.7274 ms"," ---","[hex]00"
46,"Rx","Ok","-23.7057 ms"," ---","[hex]C4"
47,"Rx","Ok","-23.6767 ms"," ---","[hex]00"
48,"Rx","Ok","-23.655 ms"," ---","[hex]A7"
49,"Rx","Ok","-23.626 ms"," ---","[hex]00"
50,"Rx","Ok","-23.6043 ms"," ---","[hex]89"
51,"Rx","Ok","-23.5749 ms"," ---","[hex]00"
52,"Rx","Ok","-23.5531 ms"," ---","[hex]6A"
53,"Rx","Ok","-23.5243 ms"," ---","[hex]01"
54,"Rx","Ok","-23.5026 ms"," ---","[hex]2F"
55,"Rx","Ok","-23.3715 ms"," ---","[hex]01"
56,"Rx","Ok","-23.3497 ms"," ---","[hex]4F"
57,"Rx","Ok","-23.3209 ms"," ---","[hex]01"
58,"Rx","Ok","-23.2992 ms"," ---","[hex]6E"
59,"Rx","Ok","-23.2703 ms"," ---","[hex]01"
60,"Rx","Ok","-23.2486 ms"," ---","[hex]8E"
61,"Rx","Ok","-23.2194 ms"," ---","[hex]01"
62,"Rx","Ok","-23.1977 ms"," ---","[hex]AE"
63,"Rx","Ok","-23.1685 ms"," ---","[hex]01"
64,"Rx","Ok","-23.1468 ms"," ---","[hex]CE"
65,"Rx","Ok","-23.1179 ms"," ---","[hex]01"
66,"Rx","Ok","-23.0961 ms"," ---","[hex]EC"
67,"Rx","Ok","-23.067 ms"," ---","[hex]02"
68,"Rx","Ok","-23.0453 ms"," ---","[hex]0A"
69,"Rx","Ok","-23.0161 ms"," ---","[hex]02"
70,"Rx","Ok","-22.9944 ms"," ---","[hex]2A"
