Decode results B 1
,"Source","State","Start","Tx value","Rx value"
1,"Rx","Ok","-2.4938 ms"," ---","[hex]01"
2,"Rx","Ok","-2.472 ms"," ---","[hex]5B"
3,"Rx","Ok","-2.4428 ms"," ---","[hex]01"
4,"Rx","Ok","-2.4211 ms"," ---","[hex]41"
5,"Rx","Ok","-2.392 ms"," ---","[hex]01"
6,"Rx","Ok","-2.3703 ms"," ---","[hex]1D"
7,"Rx","Ok","-2.3411 ms"," ---","[hex]00"
8,"Rx","Ok","-2.3194 ms"," ---","[hex]FE"
9,"Rx","Ok","-2.2905 ms"," ---","[hex]00"
10,"Rx","Ok","-2.2687 ms"," ---","[hex]E0"
11,"Rx","Ok","-2.2398 ms"," ---","[hex]00"
12,"Rx","Ok","-2.218 ms"," ---","[hex]BD"
13,"Rx","Ok","-2.1889 ms"," ---","[hex]00"
14,"Rx","Ok","-2.1671 ms"," ---","[hex]9E"
15,"Rx","Ok","-2.1378 ms"," ---","[hex]00"
16,"Rx","Ok","-2.1161 ms"," ---","[hex]82"
17,"Rx","Ok","-2.0877 ms"," ---","[hex]FF"
18,"Rx","Ok","-2.0659 ms"," ---","[hex]FF"
19,"Rx","Ok","-2.0365 ms"," ---","[hex]00"
20,"Rx","Ok","-2.0147 ms"," ---","[hex]FA"
21,"Rx","Ok","-1.9854 ms"," ---","[hex]01"
22,"Rx","Ok","-1.9637 ms"," ---","[hex]1A"
23,"Rx","Ok","-1.9348 ms"," ---","[hex]01"
24,"Rx","Ok","-1.9131 ms"," ---","[hex]33"
25,"Rx","Ok","-1.8837 ms"," ---","[hex]01"
26,"Rx","Ok","-1.862 ms"," ---","[hex]42"
27,"Rx","Ok","-1.8331 ms"," ---","[hex]01"
28,"Rx","Ok","-1.8114 ms"," ---","[hex]93"
29,"Rx","Ok","-1.782 ms"," ---","[hex]01"
30,"Rx","Ok","-1.7603 ms"," ---","[hex]94"
31,"Rx","Ok","-1.7311 ms"," ---","[hex]01"
32,"Rx","Ok","-1.7094 ms"," ---","[hex]B2"
33,"Rx","Ok","-1.6805 ms"," ---","[hex]01"
34,"Rx","Ok","-1.6588 ms"," ---","[hex]B9"
35,"Rx","Ok","-1.6296 ms"," ---","[hex]01"
36,"Rx","Ok","-1.6078 ms"," ---","[hex]DA"
37,"Rx","Ok","-1.5788 ms"," ---","[hex]02"
38,"Rx","Ok","-1.5571 ms"," ---","[hex]2A"
39,"Rx","Ok","-1.5281 ms"," ---","[hex]02"
40,"Rx","Ok","-1.5064 ms"," ---","[hex]1D"
41,"Rx","Ok","-1.4771 ms"," ---","[hex]02"
42,"Rx","Ok","-1.4553 ms"," ---","[hex]50"
43,"Rx","Ok","-1.4264 ms"," ---","[hex]02"
44,"Rx","Ok","-1.4047 ms"," ---","[hex]8F"
45,"Rx","Ok","-1.3756 ms"," ---","[hex]02"
46,"Rx","Ok","-1.3539 ms"," ---","[hex]A2"
47,"Rx","Ok","-1.3243 ms"," ---","[hex]03"
48,"Rx","Ok","-1.3026 ms"," ---","[hex]22"
49,"Rx","Ok","-1.2746 ms"," ---","[hex]FF"
50,"Rx","Ok","-1.2528 ms"," ---","[hex]FF"
51,"Rx","Ok","-1.2231 ms"," ---","[hex]02"
52,"Rx","Ok","-1.2014 ms"," ---","[hex]1E"
53,"Rx","Ok","-1.1723 ms"," ---","[hex]02"
