Decode results B 1
,"Source","State","Start","Tx value","Rx value"
1,"Rx","Ok","-2.4915 ms"," ---","[hex]00"
2,"Rx","Ok","-2.4698 ms"," ---","[hex]09"
3,"Rx","Ok","-2.4407 ms"," ---","[hex]00"
4,"Rx","Ok","-2.419 ms"," ---","[hex]0A"
5,"Rx","Ok","-2.3898 ms"," ---","[hex]00"
6,"Rx","Ok","-2.3681 ms"," ---","[hex]0A"
7,"Rx","Ok","-2.3391 ms"," ---","[hex]00"
8,"Rx","Ok","-2.3174 ms"," ---","[hex]08"
9,"Rx","Ok","-2.2882 ms"," ---","[hex]00"
10,"Rx","Ok","-2.2665 ms"," ---","[hex]08"
11,"Rx","Ok","-2.2372 ms"," ---","[hex]00"
12,"Rx","Ok","-2.2155 ms"," ---","[hex]07"
13,"Rx","Ok","-2.1872 ms"," ---","[hex]FF"
14,"Rx","Ok","-2.1655 ms"," ---","[hex]FF"
15,"Rx","Ok","-2.136 ms"," ---","[hex]01"
16,"Rx","Ok","-2.1143 ms"," ---","[hex]06"
17,"Rx","Ok","-2.0851 ms"," ---","[hex]01"
18,"Rx","Ok","-2.0634 ms"," ---","[hex]1A"
19,"Rx","Ok","-2.0344 ms"," ---","[hex]01"
20,"Rx","Ok","-2.0127 ms"," ---","[hex]35"
21,"Rx","Ok","-1.9835 ms"," ---","[hex]01"
22,"Rx","Ok","-1.9618 ms"," ---","[hex]43"
23,"Rx","Ok","-1.9328 ms"," ---","[hex]01"
24,"Rx","Ok","-1.9111 ms"," ---","[hex]8A"
25,"Rx","Ok","-1.882 ms"," ---","[hex]01"
26,"Rx","Ok","-1.8603 ms"," ---","[hex]92"
27,"Rx","Ok","-1.8308 ms"," ---","[hex]01"
28,"Rx","Ok","-1.8091 ms"," ---","[hex]AC"
29,"Rx","Ok","-1.7803 ms"," ---","[hex]01"
30,"Rx","Ok","-1.7586 ms"," ---","[hex]B6"
31,"Rx","Ok","-1.7295 ms"," ---","[hex]01"
32,"Rx","Ok","-1.7078 ms"," ---","[hex]D3"
33,"Rx","Ok","-1.6786 ms"," ---","[hex]02"
34,"Rx","Ok","-1.6569 ms"," ---","[hex]1A"
35,"Rx","Ok","-1.6279 ms"," ---","[hex]02"
36,"Rx","Ok","-1.6062 ms"," ---","[hex]22"
37,"Rx","Ok","-1.577 ms"," ---","[hex]02"
38,"Rx","Ok","-1.5552 ms"," ---","[hex]31"
39,"Rx","Ok","-1.5263 ms"," ---","[hex]02"
40,"Rx","Ok","-1.5046 ms"," ---","[hex]4C"
41,"Rx","Ok","-1.4754 ms"," ---","[hex]02"
42,"Rx","Ok","-1.4537 ms"," ---","[hex]9C"
43,"Rx","Ok","-1.4246 ms"," ---","[hex]03"
44,"Rx","Ok","-1.4029 ms"," ---","[hex]07"
45,"Rx","Ok","-1.3743 ms"," ---","[hex]FF"
46,"Rx","Ok","-1.3526 ms"," ---","[hex]FF"
47,"Rx","Ok","-1.3231 ms"," ---","[hex]03"
48,"Rx","Ok","-1.3013 ms"," ---","[hex]02"
49,"Rx","Ok","-1.2722 ms"," ---","[hex]02"
50,"Rx","Ok","-1.2505 ms"," ---","[hex]FE"
51,"Rx","Ok","-1.2216 ms"," ---","[hex]03"
52,"Rx","Ok","-1.1999 ms"," ---","[hex]02"
53,"Rx","Ok","-1.1707 ms"," ---","[hex]02"
54,"Rx","Ok","-1.149 ms"," ---","[hex]FE"
55,"Rx","Ok","-1.1198 ms"," ---","[hex]03"
56,"Rx","Ok","-1.0981 ms"," ---","[hex]04"
57,"Rx","Ok","-1.0689 ms"," ---","[hex]02"
58,"Rx","Ok","-1.0471 ms"," ---","[hex]FF"
59,"Rx","Ok","-1.0182 ms"," ---","[hex]03"
60,"Rx","Ok","-996.5 µs"," ---","[hex]01"
61,"Rx","Ok","-967.5 µs"," ---","[hex]03"
62,"Rx","Ok","-945.8 µs"," ---","[hex]00"
63,"Rx","Ok","-916.9 µs"," ---","[hex]02"
64,"Rx","Ok","-895.2 µs"," ---","[hex]FF"
65,"Rx","Ok","-865.9 µs"," ---","[hex]03"
66,"Rx","Ok","-844.2 µs"," ---","[hex]03"
67,"Rx","Ok","-815 µs"," ---","[hex]02"
68,"Rx","Ok","-793.3 µs"," ---","[hex]FE"
69,"Rx","Ok","-764.5 µs"," ---","[hex]03"
70,"Rx","Ok","-742.8 µs"," ---","[hex]00"
71,"Rx","Ok","-713.7 µs"," ---","[hex]02"
72,"Rx","Ok","-692 µs"," ---","[hex]FC"
73,"Rx","Ok","-662.7 µs"," ---","[hex]03"
74,"Rx","Ok","-641 µs"," ---","[hex]00"
75,"Rx","Ok","-611.8 µs"," ---","[hex]03"
76,"Rx","Ok","-590 µs"," ---","[hex]00"
77,"Rx","Ok","-561.6 µs"," ---","[hex]FF"
78,"Rx","Ok","-539.9 µs"," ---","[hex]FF"
79,"Rx","Ok","-510.4 µs"," ---","[hex]03"
80,"Rx","Ok","-488.6 µs"," ---","[hex]04"
81,"Rx","Ok","-459.4 µs"," ---","[hex]03"
82,"Rx","Ok","-437.7 µs"," ---","[hex]04"
83,"Rx","Ok","-408.7 µs"," ---","[hex]02"
84,"Rx","Ok","-387 µs"," ---","[hex]FE"
85,"Rx","Ok","-358 µs"," ---","[hex]03"
86,"Rx","Ok","-336.2 µs"," ---","[hex]02"
87,"Rx","Ok","-307 µs"," ---","[hex]03"
88,"Rx","Ok","-285.3 µs"," ---","[hex]00"
89,"Rx","Ok","-256.4 µs"," ---","[hex]02"
90,"Rx","Ok","-234.7 µs"," ---","[hex]FF"
91,"Rx","Ok","-205.4 µs"," ---","[hex]03"
92,"Rx","Ok","-183.7 µs"," ---","[hex]01"
93,"Rx","Ok","-154.7 µs"," ---","[hex]02"
94,"Rx","Ok","-133 µs"," ---","[hex]FE"
95,"Rx","Ok","-104.1 µs"," ---","[hex]03"
96,"Rx","Ok","-82.4 µs"," ---","[hex]00"
97,"Rx","Ok","-53.2 µs"," ---","[hex]02"
98,"Rx","Ok","-31.5 µs"," ---","[hex]FE"
99,"Rx","Ok","-2.2 µs"," ---","[hex]03"
100,"Rx","Ok","19.5 µs"," ---","[hex]02"
101,"Rx","Ok","48.7 µs"," ---","[hex]02"
102,"Rx","Ok","70.4 µs"," ---","[hex]FE"
103,"Rx","Ok","99.1 µs"," ---","[hex]03"
104,"Rx","Ok","120.8 µs"," ---","[hex]02"
105,"Rx","Ok","150.1 µs"," ---","[hex]02"
106,"Rx","Ok","171.8 µs"," ---","[hex]FB"
107,"Rx","Ok","201 µs"," ---","[hex]03"
108,"Rx","Ok","222.8 µs"," ---","[hex]00"
109,"Rx","Ok","251.6 µs"," ---","[hex]02"
110,"Rx","Ok","273.4 µs"," ---","[hex]FF"
111,"Rx","Ok","301.9 µs"," ---","[hex]FF"
112,"Rx","Ok","323.7 µs"," ---","[hex]FF"
113,"Rx","Ok","353.1 µs"," ---","[hex]01"
114,"Rx","Ok","374.8 µs"," ---","[hex]FB"
115,"Rx","Ok","404.1 µs"," ---","[hex]01"
