Decode results B 1
,"Source","State","Start","Tx value","Rx value"
1,"Rx","Ok","-2.4929 ms"," ---","[hex]01"
2,"Rx","Ok","-2.4712 ms"," ---","[hex]4E"
3,"Rx","Ok","-2.4419 ms"," ---","[hex]01"
4,"Rx","Ok","-2.4202 ms"," ---","[hex]39"
5,"Rx","Ok","-2.3912 ms"," ---","[hex]01"
6,"Rx","Ok","-2.3695 ms"," ---","[hex]09"
7,"Rx","Ok","-2.3406 ms"," ---","[hex]00"
8,"Rx","Ok","-2.3189 ms"," ---","[hex]F1"
9,"Rx","Ok","-2.2898 ms"," ---","[hex]00"
10,"Rx","Ok","-2.2681 ms"," ---","[hex]CF"
11,"Rx","Ok","-2.239 ms"," ---","[hex]00"
12,"Rx","Ok","-2.2172 ms"," ---","[hex]B6"
13,"Rx","Ok","-2.1881 ms"," ---","[hex]00"
14,"Rx","Ok","-2.1664 ms"," ---","[hex]91"
15,"Rx","Ok","-2.1372 ms"," ---","[hex]00"
16,"Rx","Ok","-2.1155 ms"," ---","[hex]77"
17,"Rx","Ok","-2.0871 ms"," ---","[hex]FF"
18,"Rx","Ok","-2.0654 ms"," ---","[hex]FF"
19,"Rx","Ok","-2.0353 ms"," ---","[hex]00"
20,"Rx","Ok","-2.0136 ms"," ---","[hex]09"
21,"Rx","Ok","-1.9848 ms"," ---","[hex]00"
22,"Rx","Ok","-1.963 ms"," ---","[hex]08"
23,"Rx","Ok","-1.9341 ms"," ---","[hex]00"
24,"Rx","Ok","-1.9123 ms"," ---","[hex]07"
25,"Rx","Ok","-1.8831 ms"," ---","[hex]00"
26,"Rx","Ok","-1.8614 ms"," ---","[hex]06"
27,"Rx","Ok","-1.8324 ms"," ---","[hex]00"
28,"Rx","Ok","-1.8106 ms"," ---","[hex]07"
29,"Rx","Ok","-1.7817 ms"," ---","[hex]00"
30,"Rx","Ok","-1.76 ms"," ---","[hex]06"
31,"Rx","Ok","-1.7307 ms"," ---","[hex]00"
32,"Rx","Ok","-1.7089 ms"," ---","[hex]07"
33,"Rx","Ok","-1.68 ms"," ---","[hex]00"
34,"Rx","Ok","-1.6583 ms"," ---","[hex]05"
35,"Rx","Ok","-1.6287 ms"," ---","[hex]00"
36,"Rx","Ok","-1.607 ms"," ---","[hex]06"
37,"Rx","Ok","-1.5783 ms"," ---","[hex]00"
38,"Rx","Ok","-1.5566 ms"," ---","[hex]07"
39,"Rx","Ok","-1.5274 ms"," ---","[hex]00"
40,"Rx","Ok","-1.5057 ms"," ---","[hex]06"
41,"Rx","Ok","-1.4768 ms"," ---","[hex]00"
42,"Rx","Ok","-1.455 ms"," ---","[hex]05"
43,"Rx","Ok","-1.4258 ms"," ---","[hex]00"
44,"Rx","Ok","-1.404 ms"," ---","[hex]06"
45,"Rx","Ok","-1.3748 ms"," ---","[hex]00"
46,"Rx","Ok","-1.3531 ms"," ---","[hex]06"
47,"Rx","Ok","-1.3248 ms"," ---","[hex]FF"
48,"Rx","Ok","-1.3031 ms"," ---","[hex]FF"
49,"Rx","Ok","-1.2733 ms"," ---","[hex]00"
50,"Rx","Ok","-1.2516 ms"," ---","[hex]06"
51,"Rx","Ok","-1.2224 ms"," ---","[hex]00"
52,"Rx","Ok","-1.2006 ms"," ---","[hex]07"
53,"Rx","Ok","-1.1715 ms"," ---","[hex]00"
54,"Rx","Ok","-1.1498 ms"," ---","[hex]06"
55,"Rx","Ok","-1.1209 ms"," ---","[hex]00"
56,"Rx","Ok","-1.0992 ms"," ---","[hex]06"
