Decode results B 1
,"Source","State","Start","Tx value","Rx value"
1,"Rx","Ok","-2.4927 ms"," ---","[hex]00"
2,"Rx","Ok","-2.471 ms"," ---","[hex]08"
3,"Rx","Ok","-2.4419 ms"," ---","[hex]00"
4,"Rx","Ok","-2.4202 ms"," ---","[hex]08"
5,"Rx","Ok","-2.3909 ms"," ---","[hex]00"
6,"Rx","Ok","-2.3692 ms"," ---","[hex]08"
7,"Rx","Ok","-2.34 ms"," ---","[hex]00"
8,"Rx","Ok","-2.3183 ms"," ---","[hex]06"
9,"Rx","Ok","-2.2892 ms"," ---","[hex]00"
10,"Rx","Ok","-2.2675 ms"," ---","[hex]08"
11,"Rx","Ok","-2.2385 ms"," ---","[hex]00"
12,"Rx","Ok","-2.2168 ms"," ---","[hex]08"
13,"Rx","Ok","-2.1878 ms"," ---","[hex]00"
14,"Rx","Ok","-2.1661 ms"," ---","[hex]07"
15,"Rx","Ok","-2.1375 ms"," ---","[hex]FF"
16,"Rx","Ok","-2.1158 ms"," ---","[hex]FF"
17,"Rx","Ok","-2.086 ms"," ---","[hex]00"
18,"Rx","Ok","-2.0643 ms"," ---","[hex]F7"
19,"Rx","Ok","-2.0353 ms"," ---","[hex]01"
20,"Rx","Ok","-2.0136 ms"," ---","[hex]16"
21,"Rx","Ok","-1.984 ms"," ---","[hex]01"
22,"Rx","Ok","-1.9623 ms"," ---","[hex]32"
23,"Rx","Ok","-1.9334 ms"," ---","[hex]01"
24,"Rx","Ok","-1.9116 ms"," ---","[hex]5A"
25,"Rx","Ok","-1.8829 ms"," ---","[hex]01"
26,"Rx","Ok","-1.8612 ms"," ---","[hex]70"
27,"Rx","Ok","-1.8321 ms"," ---","[hex]01"
28,"Rx","Ok","-1.8104 ms"," ---","[hex]96"
29,"Rx","Ok","-1.7811 ms"," ---","[hex]01"
30,"Rx","Ok","-1.7594 ms"," ---","[hex]AF"
31,"Rx","Ok","-1.7305 ms"," ---","[hex]01"
32,"Rx","Ok","-1.7088 ms"," ---","[hex]BA"
33,"Rx","Ok","-1.6797 ms"," ---","[hex]01"
