Decode results B 1
,"Source","State","Start","Tx value","Rx value"
1,"Rx","Ok","-2.4921 ms"," ---","[hex]03"
2,"Rx","Ok","-2.4704 ms"," ---","[hex]A8"
3,"Rx","Ok","-2.4415 ms"," ---","[hex]03"
4,"Rx","Ok","-2.4198 ms"," ---","[hex]A4"
5,"Rx","Ok","-2.3903 ms"," ---","[hex]03"
6,"Rx","Ok","-2.3685 ms"," ---","[hex]A4"
7,"Rx","Ok","-2.3398 ms"," ---","[hex]03"
8,"Rx","Ok","-2.3181 ms"," ---","[hex]AC"
9,"Rx","Ok","-2.2891 ms"," ---","[hex]03"
10,"Rx","Ok","-2.2674 ms"," ---","[hex]A3"
11,"Rx","Ok","-2.2379 ms"," ---","[hex]03"
12,"Rx","Ok","-2.2162 ms"," ---","[hex]A6"
13,"Rx","Ok","-2.188 ms"," ---","[hex]FF"
14,"Rx","Ok","-2.1663 ms"," ---","[hex]FF"
15,"Rx","Ok","-2.1367 ms"," ---","[hex]02"
16,"Rx","Ok","-2.1149 ms"," ---","[hex]3A"
17,"Rx","Ok","-2.0858 ms"," ---","[hex]02"
18,"Rx","Ok","-2.0641 ms"," ---","[hex]0E"
19,"Rx","Ok","-2.0351 ms"," ---","[hex]01"
20,"Rx","Ok","-2.0133 ms"," ---","[hex]E4"
21,"Rx","Ok","-1.9841 ms"," ---","[hex]01"
22,"Rx","Ok","-1.9624 ms"," ---","[hex]B6"
23,"Rx","Ok","-1.9334 ms"," ---","[hex]01"
24,"Rx","Ok","-1.9117 ms"," ---","[hex]86"
25,"Rx","Ok","-1.8825 ms"," ---","[hex]01"
26,"Rx","Ok","-1.8607 ms"," ---","[hex]5B"
27,"Rx","Ok","-1.8315 ms"," ---","[hex]01"
28,"Rx","Ok","-1.8098 ms"," ---","[hex]32"
29,"Rx","Ok","-1.7811 ms"," ---","[hex]01"
30,"Rx","Ok","-1.7593 ms"," ---","[hex]00"
31,"Rx","Ok","-1.7302 ms"," ---","[hex]00"
32,"Rx","Ok","-1.7085 ms"," ---","[hex]CF"
33,"Rx","Ok","-1.6795 ms"," ---","[hex]00"
34,"Rx","Ok","-1.6577 ms"," ---","[hex]AA"
35,"Rx","Ok","-1.6286 ms"," ---","[hex]00"
36,"Rx","Ok","-1.6069 ms"," ---","[hex]78"
37,"Rx","Ok","-1.5783 ms"," ---","[hex]FF"
38,"Rx","Ok","-1.5566 ms"," ---","[hex]FF"
39,"Rx","Ok","-1.527 ms"," ---","[hex]00"
40,"Rx","Ok","-1.5053 ms"," ---","[hex]07"
41,"Rx","Ok","-1.4763 ms"," ---","[hex]00"
42,"Rx","Ok","-1.4546 ms"," ---","[hex]06"
43,"Rx","Ok","-1.4252 ms"," ---","[hex]00"
44,"Rx","Ok","-1.4035 ms"," ---","[hex]08"
45,"Rx","Ok","-1.3745 ms"," ---","[hex]00"
46,"Rx","Ok","-1.3528 ms"," ---","[hex]07"
47,"Rx","Ok","-1.3238 ms"," ---","[hex]00"
48,"Rx","Ok","-1.302 ms"," ---","[hex]08"
49,"Rx","Ok","-1.2728 ms"," ---","[hex]00"
50,"Rx","Ok","-1.2511 ms"," ---","[hex]08"
51,"Rx","Ok","-1.2221 ms"," ---","[hex]00"
52,"Rx","Ok","-1.2004 ms"," ---","[hex]07"
53,"Rx","Ok","-1.1712 ms"," ---","[hex]00"
54,"Rx","Ok","-1.1494 ms"," ---","[hex]06"
55,"Rx","Ok","-1.1204 ms"," ---","[hex]00"
56,"Rx","Ok","-1.0987 ms"," ---","[hex]07"
57,"Rx","Ok","-1.0698 ms"," ---","[hex]00"
58,"Rx","Ok","-1.0481 ms"," ---","[hex]08"
59,"Rx","Ok","-1.0186 ms"," ---","[hex]00"
60,"Rx","Ok","-996.9 µs"," ---","[hex]0A"
61,"Rx","Ok","-968 µs"," ---","[hex]00"
62,"Rx","Ok","-946.3 µs"," ---","[hex]09"
63,"Rx","Ok","-917.7 µs"," ---","[hex]FF"
64,"Rx","Ok","-896 µs"," ---","[hex]FF"
65,"Rx","Ok","-866.5 µs"," ---","[hex]00"
66,"Rx","Ok","-844.7 µs"," ---","[hex]09"
67,"Rx","Ok","-815.5 µs"," ---","[hex]00"
68,"Rx","Ok","-793.8 µs"," ---","[hex]07"
69,"Rx","Ok","-765 µs"," ---","[hex]00"
70,"Rx","Ok","-743.3 µs"," ---","[hex]08"
71,"Rx","Ok","-714.2 µs"," ---","[hex]00"
72,"Rx","Ok","-692.5 µs"," ---","[hex]05"
73,"Rx","Ok","-663.1 µs"," ---","[hex]00"
74,"Rx","Ok","-641.4 µs"," ---","[hex]06"
75,"Rx","Ok","-612.2 µs"," ---","[hex]00"
76,"Rx","Ok","-590.5 µs"," ---","[hex]08"
77,"Rx","Ok","-561.7 µs"," ---","[hex]00"
78,"Rx","Ok","-540 µs"," ---","[hex]08"
79,"Rx","Ok","-510.8 µs"," ---","[hex]00"
80,"Rx","Ok","-489.1 µs"," ---","[hex]07"
81,"Rx","Ok","-460.1 µs"," ---","[hex]00"
82,"Rx","Ok","-438.4 µs"," ---","[hex]06"
83,"Rx","Ok","-409.3 µs"," ---","[hex]00"
84,"Rx","Ok","-387.6 µs"," ---","[hex]07"
85,"Rx","Ok","-358.3 µs"," ---","[hex]00"
86,"Rx","Ok","-336.5 µs"," ---","[hex]07"
87,"Rx","Ok","-307.6 µs"," ---","[hex]00"
88,"Rx","Ok","-285.9 µs"," ---","[hex]05"
89,"Rx","Ok","-257.4 µs"," ---","[hex]FF"
90,"Rx","Ok","-235.7 µs"," ---","[hex]FF"
91,"Rx","Ok","-205.8 µs"," ---","[hex]01"
92,"Rx","Ok","-184.1 µs"," ---","[hex]55"
93,"Rx","Ok","-155.1 µs"," ---","[hex]01"
94,"Rx","Ok","-133.4 µs"," ---","[hex]84"
95,"Rx","Ok","-104.5 µs"," ---","[hex]01"
96,"Rx","Ok","-82.8 µs"," ---","[hex]AA"
97,"Rx","Ok","-53.5 µs"," ---","[hex]01"
98,"Rx","Ok","-31.8 µs"," ---","[hex]D6"
99,"Rx","Ok","-2.6 µs"," ---","[hex]02"
100,"Rx","Ok","19.1 µs"," ---","[hex]0A"
101,"Rx","Ok","48.3 µs"," ---","[hex]02"
102,"Rx","Ok","70.1 µs"," ---","[hex]38"
103,"Rx","Ok","98.8 µs"," ---","[hex]02"
104,"Rx","Ok","120.5 µs"," ---","[hex]66"
105,"Rx","Ok","149.8 µs"," ---","[hex]02"
106,"Rx","Ok","171.6 µs"," ---","[hex]92"
107,"Rx","Ok","200.7 µs"," ---","[hex]02"
108,"Rx","Ok","222.4 µs"," ---","[hex]C5"
109,"Rx","Ok","251.3 µs"," ---","[hex]02"
110,"Rx","Ok","273.1 µs"," ---","[hex]F6"
111,"Rx","Ok","302.3 µs"," ---","[hex]03"
112,"Rx","Ok","324 µs"," ---","[hex]34"
113,"Rx","Ok","352.8 µs"," ---","[hex]03"
114,"Rx","Ok","374.5 µs"," ---","[hex]C7"
115,"Rx","Ok","403.3 µs"," ---","[hex]FF"
116,"Rx","Ok","425 µs"," ---","[hex]FF"
117,"Rx","Ok","454.7 µs"," ---","[hex]03"
118,"Rx","Ok","476.4 µs"," ---","[hex]A8"
119,"Rx","Ok","505.2 µs"," ---","[hex]03"
120,"Rx","Ok","527 µs"," ---","[hex]A2"
121,"Rx","Ok","556.2 µs"," ---","[hex]03"
122,"Rx","Ok","578 µs"," ---","[hex]A2"
123,"Rx","Ok","607.1 µs"," ---","[hex]03"
124,"Rx","Ok","628.8 µs"," ---","[hex]A8"
125,"Rx","Ok","657.7 µs"," ---","[hex]03"
126,"Rx","Ok","679.4 µs"," ---","[hex]A8"
127,"Rx","Ok","708.8 µs"," ---","[hex]03"
128,"Rx","Ok","730.6 µs"," ---","[hex]A8"
129,"Rx","Ok","759.3 µs"," ---","[hex]03"
130,"Rx","Ok","781 µs"," ---","[hex]AF"
