Decode results B 1
,"Source","State","Start","Tx value","Rx value"
1,"Rx","Ok","-2.4922 ms"," ---","[hex]00"
2,"Rx","Ok","-2.4705 ms"," ---","[hex]09"
3,"Rx","Ok","-2.4415 ms"," ---","[hex]00"
4,"Rx","Ok","-2.4197 ms"," ---","[hex]09"
5,"Rx","Ok","-2.3905 ms"," ---","[hex]00"
6,"Rx","Ok","-2.3688 ms"," ---","[hex]09"
7,"Rx","Ok","-2.3396 ms"," ---","[hex]00"
8,"Rx","Ok","-2.3178 ms"," ---","[hex]0B"
9,"Rx","Ok","-2.2896 ms"," ---","[hex]FF"
10,"Rx","Ok","-2.2679 ms"," ---","[hex]FF"
11,"Rx","Ok","-2.2383 ms"," ---","[hex]01"
12,"Rx","Ok","-2.2166 ms"," ---","[hex]08"
13,"Rx","Ok","-2.1874 ms"," ---","[hex]01"
14,"Rx","Ok","-2.1657 ms"," ---","[hex]24"
15,"Rx","Ok","-2.1367 ms"," ---","[hex]01"
16,"Rx","Ok","-2.115 ms"," ---","[hex]2E"
17,"Rx","Ok","-2.0858 ms"," ---","[hex]01"
18,"Rx","Ok","-2.0641 ms"," ---","[hex]4A"
19,"Rx","Ok","-2.035 ms"," ---","[hex]01"
20,"Rx","Ok","-2.0133 ms"," ---","[hex]95"
21,"Rx","Ok","-1.9841 ms"," ---","[hex]01"
22,"Rx","Ok","-1.9624 ms"," ---","[hex]98"
23,"Rx","Ok","-1.9332 ms"," ---","[hex]01"
24,"Rx","Ok","-1.9115 ms"," ---","[hex]B2"
25,"Rx","Ok","-1.8826 ms"," ---","[hex]01"
26,"Rx","Ok","-1.8609 ms"," ---","[hex]B8"
27,"Rx","Ok","-1.8319 ms"," ---","[hex]01"
28,"Rx","Ok","-1.8102 ms"," ---","[hex]D6"
29,"Rx","Ok","-1.7809 ms"," ---","[hex]02"
30,"Rx","Ok","-1.7592 ms"," ---","[hex]24"
31,"Rx","Ok","-1.7302 ms"," ---","[hex]02"
32,"Rx","Ok","-1.7085 ms"," ---","[hex]18"
33,"Rx","Ok","-1.6793 ms"," ---","[hex]02"
34,"Rx","Ok","-1.6576 ms"," ---","[hex]44"
35,"Rx","Ok","-1.6286 ms"," ---","[hex]02"
36,"Rx","Ok","-1.6069 ms"," ---","[hex]84"
37,"Rx","Ok","-1.5776 ms"," ---","[hex]02"
38,"Rx","Ok","-1.5559 ms"," ---","[hex]8F"
39,"Rx","Ok","-1.5267 ms"," ---","[hex]03"
40,"Rx","Ok","-1.5049 ms"," ---","[hex]24"
41,"Rx","Ok","-1.4767 ms"," ---","[hex]FF"
42,"Rx","Ok","-1.455 ms"," ---","[hex]FF"
43,"Rx","Ok","-1.4252 ms"," ---","[hex]02"
44,"Rx","Ok","-1.4035 ms"," ---","[hex]FE"
45,"Rx","Ok","-1.3746 ms"," ---","[hex]03"
46,"Rx","Ok","-1.3528 ms"," ---","[hex]02"
47,"Rx","Ok","-1.3239 ms"," ---","[hex]03"
48,"Rx","Ok","-1.3022 ms"," ---","[hex]00"
49,"Rx","Ok","-1.273 ms"," ---","[hex]02"
50,"Rx","Ok","-1.2512 ms"," ---","[hex]FE"
51,"Rx","Ok","-1.222 ms"," ---","[hex]03"
52,"Rx","Ok","-1.2003 ms"," ---","[hex]04"
53,"Rx","Ok","-1.1715 ms"," ---","[hex]02"
54,"Rx","Ok","-1.1498 ms"," ---","[hex]FE"
55,"Rx","Ok","-1.1205 ms"," ---","[hex]03"
56,"Rx","Ok","-1.0987 ms"," ---","[hex]02"
57,"Rx","Ok","-1.0698 ms"," ---","[hex]02"
58,"Rx","Ok","-1.0481 ms"," ---","[hex]FE"
59,"Rx","Ok","-1.0191 ms"," ---","[hex]03"
60,"Rx","Ok","-997.3 µs"," ---","[hex]04"
61,"Rx","Ok","-968.3 µs"," ---","[hex]03"
62,"Rx","Ok","-946.5 µs"," ---","[hex]00"
63,"Rx","Ok","-917.4 µs"," ---","[hex]02"
64,"Rx","Ok","-895.7 µs"," ---","[hex]FF"
65,"Rx","Ok","-866.7 µs"," ---","[hex]03"
66,"Rx","Ok","-845 µs"," ---","[hex]00"
67,"Rx","Ok","-815.9 µs"," ---","[hex]02"
68,"Rx","Ok","-794.2 µs"," ---","[hex]FE"
69,"Rx","Ok","-764.8 µs"," ---","[hex]03"
70,"Rx","Ok","-743.1 µs"," ---","[hex]04"
71,"Rx","Ok","-714 µs"," ---","[hex]02"
72,"Rx","Ok","-692.2 µs"," ---","[hex]FE"
73,"Rx","Ok","-663.8 µs"," ---","[hex]FF"
74,"Rx","Ok","-642.1 µs"," ---","[hex]FF"
75,"Rx","Ok","-612.5 µs"," ---","[hex]03"
76,"Rx","Ok","-590.8 µs"," ---","[hex]01"
77,"Rx","Ok","-561.7 µs"," ---","[hex]03"
78,"Rx","Ok","-540 µs"," ---","[hex]02"
79,"Rx","Ok","-511.1 µs"," ---","[hex]02"
80,"Rx","Ok","-489.3 µs"," ---","[hex]FF"
81,"Rx","Ok","-460.1 µs"," ---","[hex]03"
82,"Rx","Ok","-438.4 µs"," ---","[hex]02"
83,"Rx","Ok","-409.2 µs"," ---","[hex]03"
84,"Rx","Ok","-387.5 µs"," ---","[hex]00"
85,"Rx","Ok","-358.3 µs"," ---","[hex]02"
86,"Rx","Ok","-336.5 µs"," ---","[hex]FE"
87,"Rx","Ok","-307.6 µs"," ---","[hex]03"
88,"Rx","Ok","-285.9 µs"," ---","[hex]06"
89,"Rx","Ok","-256.9 µs"," ---","[hex]03"
90,"Rx","Ok","-235.2 µs"," ---","[hex]02"
91,"Rx","Ok","-206.2 µs"," ---","[hex]03"
92,"Rx","Ok","-184.5 µs"," ---","[hex]00"
93,"Rx","Ok","-155.4 µs"," ---","[hex]02"
94,"Rx","Ok","-133.7 µs"," ---","[hex]FE"
95,"Rx","Ok","-104.4 µs"," ---","[hex]03"
96,"Rx","Ok","-82.7 µs"," ---","[hex]04"
97,"Rx","Ok","-53.8 µs"," ---","[hex]02"
98,"Rx","Ok","-32.1 µs"," ---","[hex]FE"
99,"Rx","Ok","-3 µs"," ---","[hex]03"
100,"Rx","Ok","18.7 µs"," ---","[hex]00"
101,"Rx","Ok","48 µs"," ---","[hex]02"
102,"Rx","Ok","69.7 µs"," ---","[hex]FE"
103,"Rx","Ok","98.9 µs"," ---","[hex]03"
104,"Rx","Ok","120.6 µs"," ---","[hex]04"
105,"Rx","Ok","149.4 µs"," ---","[hex]03"
106,"Rx","Ok","171.1 µs"," ---","[hex]00"
107,"Rx","Ok","199.8 µs"," ---","[hex]FF"
108,"Rx","Ok","221.5 µs"," ---","[hex]FF"
109,"Rx","Ok","251 µs"," ---","[hex]01"
110,"Rx","Ok","272.7 µs"," ---","[hex]EF"
111,"Rx","Ok","302.1 µs"," ---","[hex]01"
112,"Rx","Ok","323.9 µs"," ---","[hex]E5"
113,"Rx","Ok","352.6 µs"," ---","[hex]01"
114,"Rx","Ok","374.3 µs"," ---","[hex]C6"
115,"Rx","Ok","403.4 µs"," ---","[hex]01"
116,"Rx","Ok","425.1 µs"," ---","[hex]BC"
117,"Rx","Ok","454.4 µs"," ---","[hex]01"
118,"Rx","Ok","476.1 µs"," ---","[hex]77"
119,"Rx","Ok","505.2 µs"," ---","[hex]01"
120,"Rx","Ok","526.9 µs"," ---","[hex]6C"
121,"Rx","Ok","556.1 µs"," ---","[hex]01"
122,"Rx","Ok","577.8 µs"," ---","[hex]52"
123,"Rx","Ok","606.7 µs"," ---","[hex]01"
124,"Rx","Ok","628.4 µs"," ---","[hex]46"
125,"Rx","Ok","657.4 µs"," ---","[hex]01"
126,"Rx","Ok","679.1 µs"," ---","[hex]2C"
127,"Rx","Ok","708.2 µs"," ---","[hex]00"
128,"Rx","Ok","729.9 µs"," ---","[hex]E4"
129,"Rx","Ok","759.1 µs"," ---","[hex]00"
130,"Rx","Ok","780.9 µs"," ---","[hex]DC"
131,"Rx","Ok","809.8 µs"," ---","[hex]00"
132,"Rx","Ok","831.5 µs"," ---","[hex]D4"
133,"Rx","Ok","860.6 µs"," ---","[hex]00"
134,"Rx","Ok","882.3 µs"," ---","[hex]B7"
135,"Rx","Ok","911.7 µs"," ---","[hex]00"
136,"Rx","Ok","933.4 µs"," ---","[hex]6C"
137,"Rx","Ok","962.2 µs"," ---","[hex]00"
138,"Rx","Ok","984 µs"," ---","[hex]6F"
139,"Rx","Ok","1.0127 ms"," ---","[hex]FF"
140,"Rx","Ok","1.0344 ms"," ---","[hex]FF"
141,"Rx","Ok","1.0641 ms"," ---","[hex]00"
142,"Rx","Ok","1.0859 ms"," ---","[hex]0B"
143,"Rx","Ok","1.1149 ms"," ---","[hex]00"
144,"Rx","Ok","1.1366 ms"," ---","[hex]0D"
145,"Rx","Ok","1.1656 ms"," ---","[hex]00"
146,"Rx","Ok","1.1873 ms"," ---","[hex]0A"
147,"Rx","Ok","1.2162 ms"," ---","[hex]00"
148,"Rx","Ok","1.2379 ms"," ---","[hex]0C"
149,"Rx","Ok","1.2671 ms"," ---","[hex]00"
150,"Rx","Ok","1.2889 ms"," ---","[hex]0D"
151,"Rx","Ok","1.3181 ms"," ---","[hex]00"
152,"Rx","Ok","1.3398 ms"," ---","[hex]0B"
153,"Rx","Ok","1.3689 ms"," ---","[hex]00"
154,"Rx","Ok","1.3906 ms"," ---","[hex]09"
155,"Rx","Ok","1.4194 ms"," ---","[hex]00"
156,"Rx","Ok","1.4411 ms"," ---","[hex]0C"
157,"Rx","Ok","1.4704 ms"," ---","[hex]00"
158,"Rx","Ok","1.4921 ms"," ---","[hex]09"
159,"Rx","Ok","1.521 ms"," ---","[hex]00"
160,"Rx","Ok","1.5427 ms"," ---","[hex]0B"
161,"Rx","Ok","1.5722 ms"," ---","[hex]00"
162,"Rx","Ok","1.594 ms"," ---","[hex]0C"
163,"Rx","Ok","1.6227 ms"," ---","[hex]00"
164,"Rx","Ok","1.6444 ms"," ---","[hex]0B"
165,"Rx","Ok","1.6734 ms"," ---","[hex]00"
166,"Rx","Ok","1.6951 ms"," ---","[hex]09"
167,"Rx","Ok","1.7246 ms"," ---","[hex]00"
168,"Rx","Ok","1.7463 ms"," ---","[hex]0A"
169,"Rx","Ok","1.7752 ms"," ---","[hex]00"
170,"Rx","Ok","1.7969 ms"," ---","[hex]0B"
171,"Rx","Ok","1.8252 ms"," ---","[hex]FF"
172,"Rx","Ok","1.8469 ms"," ---","[hex]FF"
173,"Rx","Ok","1.8767 ms"," ---","[hex]00"
174,"Rx","Ok","1.8984 ms"," ---","[hex]09"
175,"Rx","Ok","1.9274 ms"," ---","[hex]00"
176,"Rx","Ok","1.9491 ms"," ---","[hex]0B"
177,"Rx","Ok","1.9783 ms"," ---","[hex]00"
178,"Rx","Ok","2 ms"," ---","[hex]09"
179,"Rx","Ok","2.0291 ms"," ---","[hex]00"
180,"Rx","Ok","2.0508 ms"," ---","[hex]0A"
181,"Rx","Ok","2.08 ms"," ---","[hex]00"
182,"Rx","Ok","2.1017 ms"," ---","[hex]0D"
183,"Rx","Ok","2.131 ms"," ---","[hex]00"
184,"Rx","Ok","2.1527 ms"," ---","[hex]0A"
185,"Rx","Ok","2.1814 ms"," ---","[hex]00"
186,"Rx","Ok","2.2031 ms"," ---","[hex]0B"
187,"Rx","Ok","2.2323 ms"," ---","[hex]00"
188,"Rx","Ok","2.254 ms"," ---","[hex]0A"
189,"Rx","Ok","2.283 ms"," ---","[hex]00"
190,"Rx","Ok","2.3047 ms"," ---","[hex]0A"
191,"Rx","Ok","2.3339 ms"," ---","[hex]00"
192,"Rx","Ok","2.3556 ms"," ---","[hex]0E"
193,"Rx","Ok","2.3848 ms"," ---","[hex]00"
194,"Rx","Ok","2.4065 ms"," ---","[hex]0B"
195,"Rx","Ok","2.4355 ms"," ---","[hex]00"
196,"Rx","Ok","2.4573 ms"," ---","[hex]08"
"Data format","Hex"

