Decode results B 1
,"Source","State","Start","Tx value","Rx value"
1,"Rx","Ok","-2.4909 ms"," ---","[hex]03"
2,"Rx","Ok","-2.4692 ms"," ---","[hex]08"
3,"Rx","Ok","-2.4399 ms"," ---","[hex]03"
4,"Rx","Ok","-2.4182 ms"," ---","[hex]04"
5,"Rx","Ok","-2.3896 ms"," ---","[hex]03"
6,"Rx","Ok","-2.3679 ms"," ---","[hex]04"
7,"Rx","Ok","-2.3388 ms"," ---","[hex]03"
8,"Rx","Ok","-2.3171 ms"," ---","[hex]02"
9,"Rx","Ok","-2.288 ms"," ---","[hex]03"
10,"Rx","Ok","-2.2663 ms"," ---","[hex]02"
11,"Rx","Ok","-2.2377 ms"," ---","[hex]FF"
12,"Rx","Ok","-2.216 ms"," ---","[hex]FF"
13,"Rx","Ok","-2.1864 ms"," ---","[hex]03"
14,"Rx","Ok","-2.1647 ms"," ---","[hex]02"
15,"Rx","Ok","-2.1354 ms"," ---","[hex]03"
16,"Rx","Ok","-2.1137 ms"," ---","[hex]04"
17,"Rx","Ok","-2.0848 ms"," ---","[hex]03"
18,"Rx","Ok","-2.0631 ms"," ---","[hex]05"
19,"Rx","Ok","-2.0335 ms"," ---","[hex]03"
20,"Rx","Ok","-2.0118 ms"," ---","[hex]04"
21,"Rx","Ok","-1.9832 ms"," ---","[hex]03"
22,"Rx","Ok","-1.9615 ms"," ---","[hex]00"
23,"Rx","Ok","-1.9323 ms"," ---","[hex]03"
24,"Rx","Ok","-1.9106 ms"," ---","[hex]04"
25,"Rx","Ok","-1.8814 ms"," ---","[hex]03"
26,"Rx","Ok","-1.8596 ms"," ---","[hex]02"
27,"Rx","Ok","-1.8306 ms"," ---","[hex]03"
28,"Rx","Ok","-1.8089 ms"," ---","[hex]02"
29,"Rx","Ok","-1.7799 ms"," ---","[hex]03"
30,"Rx","Ok","-1.7582 ms"," ---","[hex]05"
31,"Rx","Ok","-1.7293 ms"," ---","[hex]03"
