Decode results B 1
,"Source","State","Start","Tx value","Rx value"
1,"Rx","Ok","-2.4919 ms"," ---","[hex]00"
2,"Rx","Ok","-2.4702 ms"," ---","[hex]0A"
3,"Rx","Ok","-2.4407 ms"," ---","[hex]00"
4,"Rx","Ok","-2.419 ms"," ---","[hex]0A"
5,"Rx","Ok","-2.3902 ms"," ---","[hex]00"
6,"Rx","Ok","-2.3684 ms"," ---","[hex]09"
7,"Rx","Ok","-2.3395 ms"," ---","[hex]00"
8,"Rx","Ok","-2.3178 ms"," ---","[hex]08"
9,"Rx","Ok","-2.2887 ms"," ---","[hex]00"
10,"Rx","Ok","-2.267 ms"," ---","[hex]08"
11,"Rx","Ok","-2.2379 ms"," ---","[hex]00"
12,"Rx","Ok","-2.2162 ms"," ---","[hex]07"
13,"Rx","Ok","-2.1871 ms"," ---","[hex]00"
14,"Rx","Ok","-2.1654 ms"," ---","[hex]0A"
15,"Rx","Ok","-2.1362 ms"," ---","[hex]00"
16,"Rx","Ok","-2.1145 ms"," ---","[hex]0A"
17,"Rx","Ok","-2.0859 ms"," ---","[hex]FF"
18,"Rx","Ok","-2.0642 ms"," ---","[hex]FF"
19,"Rx","Ok","-2.0344 ms"," ---","[hex]01"
20,"Rx","Ok","-2.0127 ms"," ---","[hex]06"
21,"Rx","Ok","-1.984 ms"," ---","[hex]01"
22,"Rx","Ok","-1.9622 ms"," ---","[hex]22"
23,"Rx","Ok","-1.9332 ms"," ---","[hex]01"
24,"Rx","Ok","-1.9114 ms"," ---","[hex]2C"
25,"Rx","Ok","-1.8823 ms"," ---","[hex]01"
26,"Rx","Ok","-1.8606 ms"," ---","[hex]4C"
27,"Rx","Ok","-1.8314 ms"," ---","[hex]01"
28,"Rx","Ok","-1.8096 ms"," ---","[hex]9A"
29,"Rx","Ok","-1.7806 ms"," ---","[hex]01"
30,"Rx","Ok","-1.7589 ms"," ---","[hex]9E"
31,"Rx","Ok","-1.7299 ms"," ---","[hex]01"
32,"Rx","Ok","-1.7082 ms"," ---","[hex]BB"
33,"Rx","Ok","-1.679 ms"," ---","[hex]01"
34,"Rx","Ok","-1.6572 ms"," ---","[hex]CA"
