Decode results B 1
,"Source","State","Start","Tx value","Rx value"
1,"Rx","Ok","-23.8702 ms"," ---","[hex]FF"
2,"Rx","Ok","-23.8485 ms"," ---","[hex]FF"
3,"Rx","Ok","-23.8267 ms"," ---","[hex]01"
4,"Rx","Ok","-23.805 ms"," ---","[hex]C4"
5,"Rx","Ok","-23.7833 ms"," ---","[hex]01"
6,"Rx","Ok","-23.7616 ms"," ---","[hex]A3"
7,"Rx","Ok","-23.7399 ms"," ---","[hex]01"
8,"Rx","Ok","-23.7182 ms"," ---","[hex]84"
9,"Rx","Ok","-23.6964 ms"," ---","[hex]01"
10,"Rx","Ok","-23.6747 ms"," ---","[hex]66"
11,"Rx","Ok","-23.653 ms"," ---","[hex]01"
12,"Rx","Ok","-23.6313 ms"," ---","[hex]46"
13,"Rx","Ok","-23.6095 ms"," ---","[hex]01"
14,"Rx","Ok","-23.5878 ms"," ---","[hex]24"
15,"Rx","Ok","-23.5661 ms"," ---","[hex]01"
16,"Rx","Ok","-23.5444 ms"," ---","[hex]05"
17,"Rx","Ok","-23.5211 ms"," ---","[hex]00"
18,"Rx","Ok","-23.4993 ms"," ---","[hex]E6"
19,"Rx","Ok","-23.4704 ms"," ---","[hex]00"
20,"Rx","Ok","-23.4487 ms"," ---","[hex]C8"
21,"Rx","Ok","-23.4187 ms"," ---","[hex]00"
22,"Rx","Ok","-23.397 ms"," ---","[hex]A8"
23,"Rx","Ok","-23.3681 ms"," ---","[hex]00"
24,"Rx","Ok","-23.3463 ms"," ---","[hex]8C"
25,"Rx","Ok","-23.3173 ms"," ---","[hex]01"
26,"Rx","Ok","-23.2955 ms"," ---","[hex]0E"
27,"Rx","Ok","-23.2665 ms"," ---","[hex]01"
28,"Rx","Ok","-23.2448 ms"," ---","[hex]2C"
29,"Rx","Ok","-23.2156 ms"," ---","[hex]01"
30,"Rx","Ok","-23.1939 ms"," ---","[hex]4C"
31,"Rx","Ok","-23.1648 ms"," ---","[hex]01"
32,"Rx","Ok","-23.1431 ms"," ---","[hex]6C"
33,"Rx","Ok","-23.114 ms"," ---","[hex]01"
34,"Rx","Ok","-23.0923 ms"," ---","[hex]8A"
35,"Rx","Ok","-23.0631 ms"," ---","[hex]01"
36,"Rx","Ok","-23.0413 ms"," ---","[hex]AA"
37,"Rx","Ok","-23.0121 ms"," ---","[hex]01"
38,"Rx","Ok","-22.9904 ms"," ---","[hex]CA"
39,"Rx","Ok","-22.9615 ms"," ---","[hex]01"
40,"Rx","Ok","-22.9397 ms"," ---","[hex]EA"
41,"Rx","Ok","-22.9108 ms"," ---","[hex]02"
42,"Rx","Ok","-22.889 ms"," ---","[hex]0A"
43,"Rx","Ok","-22.8596 ms"," ---","[hex]02"
44,"Rx","Ok","-22.8379 ms"," ---","[hex]2A"
45,"Rx","Ok","-22.809 ms"," ---","[hex]02"
46,"Rx","Ok","-22.7873 ms"," ---","[hex]4A"
