Decode results B 1
,"Source","State","Start","Tx value","Rx value"
1,"Rx","Ok","-23.8702 ms"," ---","[hex]FF"
2,"Rx","Ok","-23.8485 ms"," ---","[hex]FF"
1,"Rx","Ok","1.0529 ms"," ---","[hex]FF"
2,"Rx","Ok","1.0746 ms"," ---","[hex]FF"
3,"Rx","Ok","1.0991 ms"," ---","[hex]00"
4,"Rx","Ok","1.1209 ms"," ---","[hex]00"
5,"Rx","Ok","1.1523 ms"," ---","[hex]10"
6,"Rx","Ok","1.174 ms"," ---","[hex]3D"
7,"Rx","Ok","1.2014 ms"," ---","[hex]00"
8,"Rx","Ok","1.2231 ms"," ---","[hex]00"
9,"Rx","Ok","1.2548 ms"," ---","[hex]1B"
10,"Rx","Ok","1.2766 ms"," ---","[hex]16"
11,"Rx","Ok","1.3029 ms"," ---","[hex]00"
12,"Rx","Ok","1.3246 ms"," ---","[hex]00"
13,"Rx","Ok","1.3561 ms"," ---","[hex]10"
14,"Rx","Ok","1.3778 ms"," ---","[hex]82"
15,"Rx","Ok","1.4047 ms"," ---","[hex]00"
16,"Rx","Ok","1.4264 ms"," ---","[hex]00"
17,"Rx","Ok","1.4579 ms"," ---","[hex]19"
18,"Rx","Ok","1.4796 ms"," ---","[hex]30"
19,"Rx","Ok","1.5063 ms"," ---","[hex]00"
20,"Rx","Ok","1.5281 ms"," ---","[hex]00"
21,"Rx","Ok","1.5594 ms"," ---","[hex]11"
22,"Rx","Ok","1.5811 ms"," ---","[hex]95"
23,"Rx","Ok","1.6078 ms"," ---","[hex]00"
24,"Rx","Ok","1.6295 ms"," ---","[hex]00"
25,"Rx","Ok","1.6614 ms"," ---","[hex]1C"
26,"Rx","Ok","1.6832 ms"," ---","[hex]15"
27,"Rx","Ok","1.7094 ms"," ---","[hex]00"
28,"Rx","Ok","1.7311 ms"," ---","[hex]00"
29,"Rx","Ok","1.7627 ms"," ---","[hex]0F"
30,"Rx","Ok","1.7844 ms"," ---","[hex]DE"
31,"Rx","Ok","1.8114 ms"," ---","[hex]00"
32,"Rx","Ok","1.8332 ms"," ---","[hex]00"
33,"Rx","Ok","1.8641 ms"," ---","[hex]18"
34,"Rx","Ok","1.8859 ms"," ---","[hex]58"
35,"Rx","Ok","1.9121 ms"," ---","[hex]00"
36,"Rx","Ok","1.9338 ms"," ---","[hex]00"
37,"Rx","Ok","1.9654 ms"," ---","[hex]10"
38,"Rx","Ok","1.9871 ms"," ---","[hex]2C"
39,"Rx","Ok","2.0143 ms"," ---","[hex]00"
40,"Rx","Ok","2.036 ms"," ---","[hex]00"
41,"Rx","Ok","2.0676 ms"," ---","[hex]1B"
42,"Rx","Ok","2.0893 ms"," ---","[hex]39"
43,"Rx","Ok","2.116 ms"," ---","[hex]00"
44,"Rx","Ok","2.1378 ms"," ---","[hex]00"
45,"Rx","Ok","2.1691 ms"," ---","[hex]10"
