Decode results B 1
,"Source","State","Start","Tx value","Rx value"
1,"Rx","Ok","-24.9957 ms"," ---","[hex]00"
2,"Rx","Ok","-24.974 ms"," ---","[hex]77"
3,"Rx","Ok","-24.945 ms"," ---","[hex]01"
4,"Rx","Ok","-24.9232 ms"," ---","[hex]25"
5,"Rx","Ok","-24.8942 ms"," ---","[hex]01"
6,"Rx","Ok","-24.8725 ms"," ---","[hex]44"
7,"Rx","Ok","-24.8432 ms"," ---","[hex]01"
8,"Rx","Ok","-24.8214 ms"," ---","[hex]64"
9,"Rx","Ok","-24.7924 ms"," ---","[hex]01"
10,"Rx","Ok","-24.7707 ms"," ---","[hex]83"
11,"Rx","Ok","-24.7418 ms"," ---","[hex]01"
12,"Rx","Ok","-24.7201 ms"," ---","[hex]A2"
13,"Rx","Ok","-24.6906 ms"," ---","[hex]01"
14,"Rx","Ok","-24.6689 ms"," ---","[hex]C4"
15,"Rx","Ok","-24.6402 ms"," ---","[hex]01"
16,"Rx","Ok","-24.6184 ms"," ---","[hex]E4"
17,"Rx","Ok","-24.5891 ms"," ---","[hex]02"
18,"Rx","Ok","-24.5674 ms"," ---","[hex]05"
19,"Rx","Ok","-24.5383 ms"," ---","[hex]02"
20,"Rx","Ok","-24.5166 ms"," ---","[hex]24"
21,"Rx","Ok","-24.4876 ms"," ---","[hex]02"
22,"Rx","Ok","-24.4659 ms"," ---","[hex]41"
23,"Rx","Ok","-24.437 ms"," ---","[hex]02"
24,"Rx","Ok","-24.4152 ms"," ---","[hex]62"
25,"Rx","Ok","-24.2843 ms"," ---","[hex]02"
26,"Rx","Ok","-24.2626 ms"," ---","[hex]86"
27,"Rx","Ok","-24.2337 ms"," ---","[hex]02"
28,"Rx","Ok","-24.212 ms"," ---","[hex]B7"
29,"Rx","Ok","-24.1826 ms"," ---","[hex]03"
30,"Rx","Ok","-24.1609 ms"," ---","[hex]3A"
31,"Rx","Ok","-24.132 ms"," ---","[hex]01"
32,"Rx","Ok","-24.1103 ms"," ---","[hex]F8"
33,"Rx","Ok","-24.0811 ms"," ---","[hex]01"
34,"Rx","Ok","-24.0594 ms"," ---","[hex]D6"
35,"Rx","Ok","-24.0303 ms"," ---","[hex]01"
36,"Rx","Ok","-24.0086 ms"," ---","[hex]B4"
37,"Rx","Ok","-23.9796 ms"," ---","[hex]01"
38,"Rx","Ok","-23.9579 ms"," ---","[hex]94"
39,"Rx","Ok","-23.9289 ms"," ---","[hex]01"
40,"Rx","Ok","-23.9072 ms"," ---","[hex]76"
41,"Rx","Ok","-23.8779 ms"," ---","[hex]01"
42,"Rx","Ok","-23.8562 ms"," ---","[hex]56"
43,"Rx","Ok","-23.8273 ms"," ---","[hex]01"
44,"Rx","Ok","-23.8056 ms"," ---","[hex]38"
45,"Rx","Ok","-23.7758 ms"," ---","[hex]01"
46,"Rx","Ok","-23.7541 ms"," ---","[hex]16"
47,"Rx","Ok","-23.7257 ms"," ---","[hex]00"
48,"Rx","Ok","-23.7039 ms"," ---","[hex]F8"
49,"Rx","Ok","-23.6749 ms"," ---","[hex]00"
50,"Rx","Ok","-23.6532 ms"," ---","[hex]D8"
51,"Rx","Ok","-23.6241 ms"," ---","[hex]00"
52,"Rx","Ok","-23.6024 ms"," ---","[hex]BA"
53,"Rx","Ok","-23.4717 ms"," ---","[hex]00"
54,"Rx","Ok","-23.4499 ms"," ---","[hex]9A"
55,"Rx","Ok","-23.4209 ms"," ---","[hex]00"
56,"Rx","Ok","-23.3992 ms"," ---","[hex]7F"
57,"Rx","Ok","-23.37 ms"," ---","[hex]00"
58,"Rx","Ok","-23.3483 ms"," ---","[hex]60"
59,"Rx","Ok","-23.3193 ms"," ---","[hex]01"
60,"Rx","Ok","-23.2976 ms"," ---","[hex]3A"
61,"Rx","Ok","-23.2682 ms"," ---","[hex]01"
62,"Rx","Ok","-23.2465 ms"," ---","[hex]5E"
63,"Rx","Ok","-23.2177 ms"," ---","[hex]01"
64,"Rx","Ok","-23.196 ms"," ---","[hex]7C"
65,"Rx","Ok","-23.1668 ms"," ---","[hex]01"
66,"Rx","Ok","-23.1451 ms"," ---","[hex]9C"
67,"Rx","Ok","-23.1161 ms"," ---","[hex]01"
68,"Rx","Ok","-23.0944 ms"," ---","[hex]BA"
69,"Rx","Ok","-23.0651 ms"," ---","[hex]01"
70,"Rx","Ok","-23.0434 ms"," ---","[hex]DA"
71,"Rx","Ok","-23.0143 ms"," ---","[hex]01"
72,"Rx","Ok","-22.9926 ms"," ---","[hex]FC"
73,"Rx","Ok","-22.9636 ms"," ---","[hex]02"
74,"Rx","Ok","-22.9419 ms"," ---","[hex]1D"
75,"Rx","Ok","-22.913 ms"," ---","[hex]02"
76,"Rx","Ok","-22.8913 ms"," ---","[hex]3A"
77,"Rx","Ok","-22.8619 ms"," ---","[hex]02"
78,"Rx","Ok","-22.8402 ms"," ---","[hex]5B"
79,"Rx","Ok","-22.8113 ms"," ---","[hex]02"
80,"Rx","Ok","-22.7896 ms"," ---","[hex]7E"
81,"Rx","Ok","-22.6589 ms"," ---","[hex]02"
82,"Rx","Ok","-22.6372 ms"," ---","[hex]AA"
83,"Rx","Ok","-22.6082 ms"," ---","[hex]03"
84,"Rx","Ok","-22.5865 ms"," ---","[hex]3B"
85,"Rx","Ok","-22.5574 ms"," ---","[hex]01"
86,"Rx","Ok","-22.5357 ms"," ---","[hex]FE"
87,"Rx","Ok","-22.5064 ms"," ---","[hex]01"
88,"Rx","Ok","-22.4847 ms"," ---","[hex]DF"
89,"Rx","Ok","-22.4558 ms"," ---","[hex]01"
90,"Rx","Ok","-22.4341 ms"," ---","[hex]BE"
91,"Rx","Ok","-22.4049 ms"," ---","[hex]01"
92,"Rx","Ok","-22.3832 ms"," ---","[hex]A0"
93,"Rx","Ok","-22.3538 ms"," ---","[hex]01"
94,"Rx","Ok","-22.3321 ms"," ---","[hex]7C"
95,"Rx","Ok","-22.3034 ms"," ---","[hex]01"
96,"Rx","Ok","-22.2816 ms"," ---","[hex]62"
97,"Rx","Ok","-22.2527 ms"," ---","[hex]01"
98,"Rx","Ok","-22.231 ms"," ---","[hex]3E"
99,"Rx","Ok","-22.2016 ms"," ---","[hex]01"
100,"Rx","Ok","-22.1798 ms"," ---","[hex]24"
101,"Rx","Ok","-22.151 ms"," ---","[hex]01"
102,"Rx","Ok","-22.1292 ms"," ---","[hex]00"
103,"Rx","Ok","-22.1003 ms"," ---","[hex]00"
104,"Rx","Ok","-22.0786 ms"," ---","[hex]DE"
105,"Rx","Ok","-22.0495 ms"," ---","[hex]00"
106,"Rx","Ok","-22.0278 ms"," ---","[hex]C5"
107,"Rx","Ok","-21.8969 ms"," ---","[hex]00"
108,"Rx","Ok","-21.8752 ms"," ---","[hex]A4"
109,"Rx","Ok","-21.846 ms"," ---","[hex]00"
110,"Rx","Ok","-21.8243 ms"," ---","[hex]85"
111,"Rx","Ok","-21.7954 ms"," ---","[hex]01"
112,"Rx","Ok","-21.7737 ms"," ---","[hex]34"
113,"Rx","Ok","-21.7443 ms"," ---","[hex]01"
114,"Rx","Ok","-21.7225 ms"," ---","[hex]54"
115,"Rx","Ok","-21.6937 ms"," ---","[hex]01"
116,"Rx","Ok","-21.672 ms"," ---","[hex]75"
117,"Rx","Ok","-21.643 ms"," ---","[hex]01"
118,"Rx","Ok","-21.6213 ms"," ---","[hex]94"
119,"Rx","Ok","-21.5922 ms"," ---","[hex]01"
120,"Rx","Ok","-21.5705 ms"," ---","[hex]B3"
121,"Rx","Ok","-21.5412 ms"," ---","[hex]01"
122,"Rx","Ok","-21.5194 ms"," ---","[hex]D4"
123,"Rx","Ok","-21.4906 ms"," ---","[hex]01"
124,"Rx","Ok","-21.4689 ms"," ---","[hex]F4"
125,"Rx","Ok","-21.4396 ms"," ---","[hex]02"
126,"Rx","Ok","-21.4179 ms"," ---","[hex]16"
127,"Rx","Ok","-21.389 ms"," ---","[hex]02"
128,"Rx","Ok","-21.3673 ms"," ---","[hex]35"
129,"Rx","Ok","-21.3381 ms"," ---","[hex]02"
130,"Rx","Ok","-21.3164 ms"," ---","[hex]57"
131,"Rx","Ok","-21.2872 ms"," ---","[hex]02"
132,"Rx","Ok","-21.2655 ms"," ---","[hex]77"
133,"Rx","Ok","-21.0841 ms"," ---","[hex]02"
134,"Rx","Ok","-21.0624 ms"," ---","[hex]9E"
135,"Rx","Ok","-21.0332 ms"," ---","[hex]03"
136,"Rx","Ok","-21.0114 ms"," ---","[hex]36"
137,"Rx","Ok","-20.9823 ms"," ---","[hex]01"
138,"Rx","Ok","-20.9606 ms"," ---","[hex]E2"
139,"Rx","Ok","-20.9316 ms"," ---","[hex]01"
140,"Rx","Ok","-20.9099 ms"," ---","[hex]C4"
141,"Rx","Ok","-20.8806 ms"," ---","[hex]01"
142,"Rx","Ok","-20.8589 ms"," ---","[hex]A4"
143,"Rx","Ok","-20.8301 ms"," ---","[hex]01"
144,"Rx","Ok","-20.8084 ms"," ---","[hex]82"
145,"Rx","Ok","-20.7792 ms"," ---","[hex]01"
146,"Rx","Ok","-20.7575 ms"," ---","[hex]64"
147,"Rx","Ok","-20.7284 ms"," ---","[hex]01"
148,"Rx","Ok","-20.7067 ms"," ---","[hex]44"
149,"Rx","Ok","-20.6776 ms"," ---","[hex]01"
150,"Rx","Ok","-20.6559 ms"," ---","[hex]24"
151,"Rx","Ok","-20.6269 ms"," ---","[hex]01"
152,"Rx","Ok","-20.6052 ms"," ---","[hex]04"
153,"Rx","Ok","-20.5758 ms"," ---","[hex]00"
154,"Rx","Ok","-20.5541 ms"," ---","[hex]E6"
155,"Rx","Ok","-20.5251 ms"," ---","[hex]00"
156,"Rx","Ok","-20.5034 ms"," ---","[hex]CA"
157,"Rx","Ok","-20.4743 ms"," ---","[hex]00"
158,"Rx","Ok","-20.4526 ms"," ---","[hex]A8"
159,"Rx","Ok","-20.3219 ms"," ---","[hex]00"
160,"Rx","Ok","-20.3002 ms"," ---","[hex]88"
161,"Rx","Ok","-20.2712 ms"," ---","[hex]01"
162,"Rx","Ok","-20.2495 ms"," ---","[hex]0F"
163,"Rx","Ok","-20.2205 ms"," ---","[hex]01"
164,"Rx","Ok","-20.1988 ms"," ---","[hex]2E"
165,"Rx","Ok","-20.1696 ms"," ---","[hex]01"
166,"Rx","Ok","-20.1479 ms"," ---","[hex]4F"
167,"Rx","Ok","-20.1189 ms"," ---","[hex]01"
168,"Rx","Ok","-20.0972 ms"," ---","[hex]6E"
169,"Rx","Ok","-20.0678 ms"," ---","[hex]01"
170,"Rx","Ok","-20.0461 ms"," ---","[hex]8E"
171,"Rx","Ok","-20.0172 ms"," ---","[hex]01"
172,"Rx","Ok","-19.9955 ms"," ---","[hex]AC"
173,"Rx","Ok","-19.9663 ms"," ---","[hex]01"
174,"Rx","Ok","-19.9446 ms"," ---","[hex]CA"
175,"Rx","Ok","-19.9155 ms"," ---","[hex]01"
176,"Rx","Ok","-19.8938 ms"," ---","[hex]EC"
177,"Rx","Ok","-19.8649 ms"," ---","[hex]02"
178,"Rx","Ok","-19.8432 ms"," ---","[hex]0A"
179,"Rx","Ok","-19.8137 ms"," ---","[hex]02"
180,"Rx","Ok","-19.792 ms"," ---","[hex]2A"
181,"Rx","Ok","-19.7632 ms"," ---","[hex]02"
182,"Rx","Ok","-19.7414 ms"," ---","[hex]4A"
183,"Rx","Ok","-19.7124 ms"," ---","[hex]02"
184,"Rx","Ok","-19.6907 ms"," ---","[hex]6B"
185,"Rx","Ok","-19.6617 ms"," ---","[hex]02"
186,"Rx","Ok","-19.64 ms"," ---","[hex]92"
187,"Rx","Ok","-19.5092 ms"," ---","[hex]02"
188,"Rx","Ok","-19.4875 ms"," ---","[hex]D7"
189,"Rx","Ok","-19.4581 ms"," ---","[hex]02"
190,"Rx","Ok","-19.4364 ms"," ---","[hex]0E"
191,"Rx","Ok","-19.4075 ms"," ---","[hex]01"
192,"Rx","Ok","-19.3858 ms"," ---","[hex]EB"
193,"Rx","Ok","-19.3569 ms"," ---","[hex]01"
194,"Rx","Ok","-19.3352 ms"," ---","[hex]CC"
195,"Rx","Ok","-19.3057 ms"," ---","[hex]01"
196,"Rx","Ok","-19.284 ms"," ---","[hex]AA"
197,"Rx","Ok","-19.2551 ms"," ---","[hex]01"
198,"Rx","Ok","-19.2334 ms"," ---","[hex]8C"
199,"Rx","Ok","-19.2044 ms"," ---","[hex]01"
200,"Rx","Ok","-19.1827 ms"," ---","[hex]6C"
201,"Rx","Ok","-19.1537 ms"," ---","[hex]01"
202,"Rx","Ok","-19.132 ms"," ---","[hex]4C"
203,"Rx","Ok","-19.1026 ms"," ---","[hex]01"
204,"Rx","Ok","-19.0809 ms"," ---","[hex]2C"
205,"Rx","Ok","-19.0518 ms"," ---","[hex]01"
206,"Rx","Ok","-19.0301 ms"," ---","[hex]0C"
207,"Rx","Ok","-19.0011 ms"," ---","[hex]00"
208,"Rx","Ok","-18.9793 ms"," ---","[hex]EE"
209,"Rx","Ok","-18.9504 ms"," ---","[hex]00"
210,"Rx","Ok","-18.9287 ms"," ---","[hex]CD"
211,"Rx","Ok","-18.8997 ms"," ---","[hex]00"
212,"Rx","Ok","-18.878 ms"," ---","[hex]AF"
213,"Rx","Ok","-18.8486 ms"," ---","[hex]00"
214,"Rx","Ok","-18.8269 ms"," ---","[hex]91"
215,"Rx","Ok","-18.6965 ms"," ---","[hex]00"
216,"Rx","Ok","-18.6748 ms"," ---","[hex]74"
217,"Rx","Ok","-18.6457 ms"," ---","[hex]01"
218,"Rx","Ok","-18.624 ms"," ---","[hex]26"
219,"Rx","Ok","-18.5948 ms"," ---","[hex]01"
220,"Rx","Ok","-18.5731 ms"," ---","[hex]46"
221,"Rx","Ok","-18.5436 ms"," ---","[hex]01"
222,"Rx","Ok","-18.5219 ms"," ---","[hex]64"
223,"Rx","Ok","-18.4931 ms"," ---","[hex]01"
224,"Rx","Ok","-18.4714 ms"," ---","[hex]86"
225,"Rx","Ok","-18.4424 ms"," ---","[hex]01"
226,"Rx","Ok","-18.4207 ms"," ---","[hex]A6"
227,"Rx","Ok","-18.3916 ms"," ---","[hex]01"
228,"Rx","Ok","-18.3699 ms"," ---","[hex]C3"
229,"Rx","Ok","-18.3408 ms"," ---","[hex]01"
230,"Rx","Ok","-18.3191 ms"," ---","[hex]E3"
231,"Rx","Ok","-18.2899 ms"," ---","[hex]02"
232,"Rx","Ok","-18.2681 ms"," ---","[hex]02"
233,"Rx","Ok","-18.2392 ms"," ---","[hex]02"
234,"Rx","Ok","-18.2175 ms"," ---","[hex]22"
235,"Rx","Ok","-18.1884 ms"," ---","[hex]02"
236,"Rx","Ok","-18.1667 ms"," ---","[hex]46"
237,"Rx","Ok","-18.1371 ms"," ---","[hex]02"
238,"Rx","Ok","-18.1154 ms"," ---","[hex]66"
239,"Rx","Ok","-18.0867 ms"," ---","[hex]02"
240,"Rx","Ok","-18.0649 ms"," ---","[hex]8A"
241,"Rx","Ok","-17.9344 ms"," ---","[hex]02"
242,"Rx","Ok","-17.9127 ms"," ---","[hex]B6"
243,"Rx","Ok","-17.8835 ms"," ---","[hex]01"
244,"Rx","Ok","-17.8618 ms"," ---","[hex]F4"
245,"Rx","Ok","-17.8328 ms"," ---","[hex]01"
246,"Rx","Ok","-17.8111 ms"," ---","[hex]D4"
247,"Rx","Ok","-17.7817 ms"," ---","[hex]01"
248,"Rx","Ok","-17.76 ms"," ---","[hex]B3"
249,"Rx","Ok","-17.731 ms"," ---","[hex]01"
250,"Rx","Ok","-17.7093 ms"," ---","[hex]96"
251,"Rx","Ok","-17.6803 ms"," ---","[hex]01"
252,"Rx","Ok","-17.6585 ms"," ---","[hex]74"
253,"Rx","Ok","-17.6293 ms"," ---","[hex]01"
254,"Rx","Ok","-17.6075 ms"," ---","[hex]56"
255,"Rx","Ok","-7.2158 ms"," ---","[hex]FF"
256,"Rx","Ok","-7.1941 ms"," ---","[hex]FF"
257,"Rx","Ok","-7.1645 ms"," ---","[hex]02"
258,"Rx","Ok","-7.1428 ms"," ---","[hex]0E"
259,"Rx","Ok","-7.1137 ms"," ---","[hex]02"
260,"Rx","Ok","-7.092 ms"," ---","[hex]2E"
