Decode results B 1
,"Source","State","Start","Tx value","Rx value"
1,"Rx","Ok","-24.9493 ms"," ---","[hex]01"
2,"Rx","Ok","-24.9276 ms"," ---","[hex]7A"
3,"Rx","Ok","-24.8985 ms"," ---","[hex]01"
4,"Rx","Ok","-24.8768 ms"," ---","[hex]9A"
5,"Rx","Ok","-24.8476 ms"," ---","[hex]01"
6,"Rx","Ok","-24.8259 ms"," ---","[hex]B8"
7,"Rx","Ok","-24.7968 ms"," ---","[hex]01"
8,"Rx","Ok","-24.775 ms"," ---","[hex]D7"
9,"Rx","Ok","-24.7455 ms"," ---","[hex]01"
10,"Rx","Ok","-24.7238 ms"," ---","[hex]F8"
11,"Rx","Ok","-24.695 ms"," ---","[hex]02"
12,"Rx","Ok","-24.6733 ms"," ---","[hex]17"
13,"Rx","Ok","-24.6443 ms"," ---","[hex]02"
14,"Rx","Ok","-24.6226 ms"," ---","[hex]38"
15,"Rx","Ok","-24.5935 ms"," ---","[hex]02"
16,"Rx","Ok","-24.5718 ms"," ---","[hex]58"
17,"Rx","Ok","-24.5428 ms"," ---","[hex]02"
18,"Rx","Ok","-24.5211 ms"," ---","[hex]7C"
19,"Rx","Ok","-24.492 ms"," ---","[hex]02"
20,"Rx","Ok","-24.4703 ms"," ---","[hex]A6"
21,"Rx","Ok","-24.4411 ms"," ---","[hex]03"
22,"Rx","Ok","-24.4194 ms"," ---","[hex]3A"
23,"Rx","Ok","-24.3902 ms"," ---","[hex]02"
24,"Rx","Ok","-24.3685 ms"," ---","[hex]05"
25,"Rx","Ok","-24.3393 ms"," ---","[hex]01"
26,"Rx","Ok","-24.3176 ms"," ---","[hex]E1"
27,"Rx","Ok","-24.1869 ms"," ---","[hex]01"
28,"Rx","Ok","-24.1652 ms"," ---","[hex]C0"
29,"Rx","Ok","-24.1362 ms"," ---","[hex]01"
30,"Rx","Ok","-24.1145 ms"," ---","[hex]9E"
31,"Rx","Ok","-24.0854 ms"," ---","[hex]01"
32,"Rx","Ok","-24.0637 ms"," ---","[hex]84"
33,"Rx","Ok","-24.0347 ms"," ---","[hex]01"
34,"Rx","Ok","-24.013 ms"," ---","[hex]60"
35,"Rx","Ok","-23.9839 ms"," ---","[hex]01"
36,"Rx","Ok","-23.9622 ms"," ---","[hex]42"
37,"Rx","Ok","-23.933 ms"," ---","[hex]01"
