Decode results B 1
,"Source","State","Start","Tx value","Rx value"
1,"Rx","Ok","-2.9022 ms"," ---","[hex]FF"
2,"Rx","Ok","-2.8777 ms"," ---","[hex]FF"
3,"Rx","Ok","-2.856 ms"," ---","[hex]FF"
4,"Rx","Ok","-2.8343 ms"," ---","[hex]FF"
5,"Rx","Ok","-2.8091 ms"," ---","[hex]00"
6,"Rx","Ok","-2.7822 ms"," ---","[hex]00"
7,"Rx","Ok","-2.7605 ms"," ---","[hex]07"
8,"Rx","Ok","-2.7366 ms"," ---","[hex]8E"
9,"Rx","Ok","-2.7061 ms"," ---","[hex]00"
10,"Rx","Ok","-2.6784 ms"," ---","[hex]00"
11,"Rx","Ok","-2.6537 ms"," ---","[hex]07"
12,"Rx","Ok","-2.6299 ms"," ---","[hex]F6"
13,"Rx","Ok","-2.6024 ms"," ---","[hex]00"
14,"Rx","Ok","-2.5705 ms"," ---","[hex]00"
15,"Rx","Ok","-2.5436 ms"," ---","[hex]07"
16,"Rx","Ok","-2.5219 ms"," ---","[hex]61"
17,"Rx","Ok","-2.4923 ms"," ---","[hex]00"
18,"Rx","Ok","-2.4667 ms"," ---","[hex]00"
19,"Rx","Ok","-2.4399 ms"," ---","[hex]07"
20,"Rx","Ok","-2.4182 ms"," ---","[hex]AB"
21,"Rx","Ok","-2.3885 ms"," ---","[hex]00"
22,"Rx","Ok","-2.363 ms"," ---","[hex]00"
23,"Rx","Ok","-2.3361 ms"," ---","[hex]07"
24,"Rx","Ok","-2.3144 ms"," ---","[hex]4C"
25,"Rx","Ok","-2.2851 ms"," ---","[hex]00"
26,"Rx","Ok","-2.2598 ms"," ---","[hex]00"
27,"Rx","Ok","-2.2361 ms"," ---","[hex]07"
28,"Rx","Ok","-2.2144 ms"," ---","[hex]A4"
29,"Rx","Ok","-2.1888 ms"," ---","[hex]00"
30,"Rx","Ok","-2.1631 ms"," ---","[hex]00"
31,"Rx","Ok","-2.1369 ms"," ---","[hex]07"
32,"Rx","Ok","-2.1152 ms"," ---","[hex]1E"
33,"Rx","Ok","-2.086 ms"," ---","[hex]00"
34,"Rx","Ok","-2.0604 ms"," ---","[hex]00"
35,"Rx","Ok","-2.0341 ms"," ---","[hex]07"
36,"Rx","Ok","-2.0124 ms"," ---","[hex]7A"
37,"Rx","Ok","-1.9833 ms"," ---","[hex]00"
38,"Rx","Ok","-1.9576 ms"," ---","[hex]00"
39,"Rx","Ok","-1.9314 ms"," ---","[hex]06"
40,"Rx","Ok","-1.9097 ms"," ---","[hex]E3"
41,"Rx","Ok","-1.8806 ms"," ---","[hex]00"
42,"Rx","Ok","-1.8549 ms"," ---","[hex]00"
43,"Rx","Ok","-1.8287 ms"," ---","[hex]07"
44,"Rx","Ok","-1.807 ms"," ---","[hex]33"
45,"Rx","Ok","-1.7778 ms"," ---","[hex]00"
46,"Rx","Ok","-1.7522 ms"," ---","[hex]00"
47,"Rx","Ok","-1.726 ms"," ---","[hex]06"
48,"Rx","Ok","-1.7042 ms"," ---","[hex]F5"
49,"Rx","Ok","-1.6751 ms"," ---","[hex]00"
50,"Rx","Ok","-1.6495 ms"," ---","[hex]00"
51,"Rx","Ok","-1.6232 ms"," ---","[hex]07"
52,"Rx","Ok","-1.6015 ms"," ---","[hex]1F"
53,"Rx","Ok","-1.5724 ms"," ---","[hex]00"
54,"Rx","Ok","-1.5475 ms"," ---","[hex]00"
55,"Rx","Ok","-1.5242 ms"," ---","[hex]06"
56,"Rx","Ok","-1.5025 ms"," ---","[hex]68"
57,"Rx","Ok","-1.4778 ms"," ---","[hex]00"
58,"Rx","Ok","-1.4526 ms"," ---","[hex]00"
59,"Rx","Ok","-1.4268 ms"," ---","[hex]06"
60,"Rx","Ok","-1.4051 ms"," ---","[hex]D9"
61,"Rx","Ok","-1.3768 ms"," ---","[hex]00"
62,"Rx","Ok","-1.3516 ms"," ---","[hex]00"
63,"Rx","Ok","-1.3251 ms"," ---","[hex]06"
64,"Rx","Ok","-1.3033 ms"," ---","[hex]46"
65,"Rx","Ok","-1.2743 ms"," ---","[hex]00"
66,"Rx","Ok","-1.2491 ms"," ---","[hex]00"
67,"Rx","Ok","-1.2226 ms"," ---","[hex]08"
68,"Rx","Ok","-1.2008 ms"," ---","[hex]26"
69,"Rx","Ok","-1.1718 ms"," ---","[hex]00"
70,"Rx","Ok","-1.1466 ms"," ---","[hex]00"
71,"Rx","Ok","-1.1201 ms"," ---","[hex]06"
72,"Rx","Ok","-1.0984 ms"," ---","[hex]38"
73,"Rx","Ok","-1.0693 ms"," ---","[hex]00"
74,"Rx","Ok","-1.0441 ms"," ---","[hex]00"
75,"Rx","Ok","-1.0176 ms"," ---","[hex]08"
76,"Rx","Ok","-995.9 µs"," ---","[hex]26"
77,"Rx","Ok","-966.9 µs"," ---","[hex]00"
78,"Rx","Ok","-941.7 µs"," ---","[hex]00"
79,"Rx","Ok","-915.1 µs"," ---","[hex]07"
80,"Rx","Ok","-893.4 µs"," ---","[hex]94"
81,"Rx","Ok","-864.8 µs"," ---","[hex]00"
82,"Rx","Ok","-839.5 µs"," ---","[hex]00"
83,"Rx","Ok","-814.7 µs"," ---","[hex]07"
84,"Rx","Ok","-793 µs"," ---","[hex]F3"
85,"Rx","Ok","-766.6 µs"," ---","[hex]00"
86,"Rx","Ok","-741.7 µs"," ---","[hex]00"
87,"Rx","Ok","-715.1 µs"," ---","[hex]07"
88,"Rx","Ok","-693.4 µs"," ---","[hex]5D"
89,"Rx","Ok","-663.5 µs"," ---","[hex]00"
90,"Rx","Ok","-637.4 µs"," ---","[hex]00"
91,"Rx","Ok","-610.8 µs"," ---","[hex]07"
92,"Rx","Ok","-589.1 µs"," ---","[hex]C6"
93,"Rx","Ok","-559.2 µs"," ---","[hex]00"
94,"Rx","Ok","-533.2 µs"," ---","[hex]00"
95,"Rx","Ok","-506.5 µs"," ---","[hex]07"
96,"Rx","Ok","-484.8 µs"," ---","[hex]6A"
97,"Rx","Ok","-454.9 µs"," ---","[hex]00"
98,"Rx","Ok","-428.9 µs"," ---","[hex]00"
99,"Rx","Ok","-402.3 µs"," ---","[hex]07"
100,"Rx","Ok","-380.6 µs"," ---","[hex]B6"
101,"Rx","Ok","-350.7 µs"," ---","[hex]00"
102,"Rx","Ok","-324.6 µs"," ---","[hex]00"
103,"Rx","Ok","-295 µs"," ---","[hex]07"
104,"Rx","Ok","-273.3 µs"," ---","[hex]71"
105,"Rx","Ok","-243.4 µs"," ---","[hex]00"
106,"Rx","Ok","-215.1 µs"," ---","[hex]00"
107,"Rx","Ok","-190.7 µs"," ---","[hex]07"
108,"Rx","Ok","-169 µs"," ---","[hex]AF"
109,"Rx","Ok","-139.1 µs"," ---","[hex]00"
110,"Rx","Ok","-105.3 µs"," ---","[hex]00"
111,"Rx","Ok","-82.9 µs"," ---","[hex]07"
112,"Rx","Ok","-61.2 µs"," ---","[hex]27"
113,"Rx","Ok","-38.3 µs"," ---","[hex]00"
114,"Rx","Ok","-11.3 µs"," ---","[hex]00"
115,"Rx","Ok","12.6 µs"," ---","[hex]07"
116,"Rx","Ok","34.3 µs"," ---","[hex]6D"
117,"Rx","Ok","61.7 µs"," ---","[hex]00"
118,"Rx","Ok","89.7 µs"," ---","[hex]00"
119,"Rx","Ok","114.7 µs"," ---","[hex]07"
120,"Rx","Ok","136.4 µs"," ---","[hex]5C"
121,"Rx","Ok","170.9 µs"," ---","[hex]00"
122,"Rx","Ok","201.1 µs"," ---","[hex]00"
123,"Rx","Ok","223.9 µs"," ---","[hex]07"
124,"Rx","Ok","245.6 µs"," ---","[hex]82"
125,"Rx","Ok","275.9 µs"," ---","[hex]00"
126,"Rx","Ok","306.1 µs"," ---","[hex]00"
127,"Rx","Ok","328.9 µs"," ---","[hex]07"
128,"Rx","Ok","351.5 µs"," ---","[hex]2E"
129,"Rx","Ok","380.9 µs"," ---","[hex]00"
130,"Rx","Ok","411.1 µs"," ---","[hex]00"
131,"Rx","Ok","433.9 µs"," ---","[hex]07"
132,"Rx","Ok","456.5 µs"," ---","[hex]3E"
133,"Rx","Ok","485.9 µs"," ---","[hex]00"
134,"Rx","Ok","519.2 µs"," ---","[hex]00"
135,"Rx","Ok","540.9 µs"," ---","[hex]06"
136,"Rx","Ok","562.6 µs"," ---","[hex]C9"
137,"Rx","Ok","596.2 µs"," ---","[hex]00"
138,"Rx","Ok","622 µs"," ---","[hex]00"
139,"Rx","Ok","644.8 µs"," ---","[hex]07"
140,"Rx","Ok","666.5 µs"," ---","[hex]22"
